Spanish,Portuguese,English
cola (< Lat. cauda),queue  file  tail
vaso (< Lat. vasum),glass  cup
copo (< Lat. cuppa),flake
competencia (< Lat. competentia),competition
despido (< Lat. expetere),dismissal  firing
oso (< Lat. ursus),bear
pez (< Lat. piscis),fish
polvo (< Lat. pulvis),dust
tienda (< Lat. tenda < tendĕre),shop  business  depot
ganancia (< Gothic ganan),profit  gain  interest
inversión (< Lat. inversionis),investment
embarazada (< Port. embaraçada)
estafa (< Ital. staffa)
exquisito (< Lat. exquisitus)
molestia (< Lat. moles)
servicios (< Lat. servitium)
perro (probably < onomatopoeic perr)
berro (< Celt. beruros)
aceite (< Ar. az-zayt)
oficina (< Lat. officīna < officium < opus + ficium)
firma (< Lat. firmus)
presunto (< Lat. praesumptus)
risco (< Lat. resecare)
topo (< Lat. talpa)
