Name,Can boot an OS on another disk partition as guest,USB support,GUI,Live memory allocation,3D acceleration,Snapshots per VM,Snapshot of running system,Live migration,Shared folders,Shared clipboard,PCI passthrough
KVM,Yes,Yes,Yes[22],Yes,Yes (via AIGLX),Yes,Yes[23],Yes[24],[empty],[empty],Yes
User Mode Linux,Yes,No,No,No,No,[empty],[empty],No,Yes,N/A,[empty]
Containers  or Zones,Yes,Yes,Yes,Yes,Not needed,Yes[25],Yes,No,Yes,Not needed,Not needed
DosBox,No,No,SVN builds only,No,Glide (SVN builds only),No,Yes,No,No,No,No
Oracle VirtualBox (formerly OSE  GPLv2),Yes,USB 1.1 only,Yes,Yes,No,Yes branched[26],Yes,Yes,No,No,No
Oracle VirtualBox with Extension Pack and Guest Additions (PUEL),Yes,Yes,Yes,Yes,OpenGL 2.0 and Direct3D 8/9[27],Yes branched[26],Yes,Yes,Yes,Yes,Linux only[28]
Oracle VM Server for SPARC (LDoms),Yes,USB 2.0,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
OKL4 Microvisor,Yes,Yes,VMs only,Yes,Yes,[empty],[empty],No,[empty],[empty],Static assignment
Virtual Iron 4.2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Yes,[empty],[empty],[empty]
Virtual PC 2007,No,No,Yes,No,No,[empty],[empty],No,Yes,Yes,[empty]
Windows Virtual PC,No,partially,Yes,No,No,[empty],[empty],No,Yes,Yes,[empty]
VirtualPC 7 for Mac,No,Yes,Yes,Yes,No,[empty],[empty],No,Yes,Yes,[empty]
Microsoft Virtual Server 2005 R2,[empty],No,Yes,No,No,?,Yes,No,[empty],[empty],[empty]
Microsoft Hyper-V Server 2008 R2,Yes,Partial support over remote desktop connections [11],Yes,Yes,DirectX 9.0c [12] (via RemoteFX),Yes branched,Yes,Yes,[empty],[empty],No
Microsoft Hyper-V Server 2012 R2,Yes,Yes,Yes,Yes,DirectX 9.0c [13] (via RemoteFX),Yes branched,Yes,Yes,[empty],[empty],No
Virtuozzo,Yes,Yes,Yes,Yes,No,[empty],[empty],Yes,[empty],[empty],[empty]
VMware ESX Server 3.0 atp,[empty],[empty],Yes,[empty],No,?,Yes,Yes,[empty],[empty],No
VMware ESX Server 2.5.3,[empty],[empty],Yes,[empty],No,[empty],[empty],[empty],[empty],[empty],No
VMware ESX Server 4.0 (vSphere),Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,[empty],[empty],Yes[29]
VMware Fusion 2.0,Yes,Yes,Yes,No,DirectX 9 Shader model 2,[empty],[empty],No,[empty],[empty],No
VMware Server,Yes,Yes,Yes,Yes,No,1,Yes,No,Yes,Yes,[empty]
VMware Workstation 5.5,Yes,Yes,Yes,Yes,Experimental support for DirectX 8; also supported with VMGL[30],Yes branched,Yes,No,Yes,Yes,No
VMware Workstation 6.0,Yes,Yes,Yes,Yes,Experimental support for DirectX 8; Also supported with VMGL[30],Yes branched,Yes,No,Yes,Yes,No
VMware Workstation 7.0 and 8.0,Yes,Yes,Yes,Yes,Support for DirectX 9.0c Shader Model 3 and OpenGL 2.13D.[31],Yes branched,Yes,No,Yes,Yes,No
VMware Player,Yes,Yes,Yes,Yes,supported with VMGL[30],No,No,No,Yes,[empty],No
Wind River hypervisor,Yes,Yes,Yes,Yes,Yes,[empty],[empty],No,[empty],[empty],[empty]
Wind River VxWorks MILS Platform,Yes,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Xen,Yes,Yes[32],Yes[22],Yes,Supported with VMGL[30],?,Yes,Yes,[empty],[empty],Yes
XCP-ng,Yes,Yes[33],Yes[22],Yes,[empty],Yes,Yes,[empty],[empty],[empty],[empty]
XenServer,Yes,[empty],Yes[22],Yes,Supported with VMGL[30],Yes,Yes,Yes,[empty],[empty],Yes
z/VM,Yes,Not applicable,Yes (zURM/HMC),Yes,Not applicable,[empty],[empty],Yes (2011),[empty],Not applicable,Not applicable
z LPARs,Yes,Not applicable,Yes (HMC),Yes,Not applicable,[empty],[empty],Yes (2007),[empty],Not applicable,Not applicable
Name,Can boot an OS on another disk partition as guest,USB,GUI,Live memory allocation,3D acceleration,Snapshots per VM,Snapshot of running system,Live migration,Shared folders,Shared clipboard,PCI passthrough
