Meaning,Spanish,Portuguese,Notes
alibi,coartada < Lat. coarctare,álibi < Lat. alibi,[empty]
store  shop,tienda < Late Lat. tendam (< tendere),loja < Fr. loge < Frankish laubja,[empty]
knee,rodilla < Lat. rotellam ('little wheel'),joelho < Lat. genuculum,The learned word rótula ('kneecap' in both Sp. and Port.) is from the same root as Spanish rodilla. Sp. de hinojos 'kneeling' is from the same source as Port. joelho.
home,hogar < Lat. e focus,Lar < Lat. Lar,[added]
street,calle < Lat. callem,rua < Lat. [viam] rūgam,[empty]
(legal) prosecutor,fiscal < Lat. fiscalis,procurador < Lat. procurator,[added]
highway  road,carretera < carreta + ‑era < carro < Lat. carrus < Gaulish carros,estrada < Lat. strata,[empty]
retailer,minorista < Lat. minor + ista,retalhista < Late Lat. taliare + ista,[empty]
sales,rebajas < Lat. prefix 're' + bassus,saldos  liquidação < Ita. saldo < soldo  Lat. liquidus,[empty]
grocer,abarrotero Uncertain < Lat. or < Pre-Roman barra,merceeiro < Lat. merx + suffix eiro,[empty]
organic food,comida orgánica < Lat. + Greek comeder+organĭcum < órganon,alimentação biológica  Bio < Lat. + Greek alere + βίος+λογία,In Brazil  the most common expression is the same as in Spanish  albeit written with an â instead of an á: comida orgânica.
leather,piel < Lat. pellis,couro  coiro < Lat. cŏrĭum,Spanish also has cuero. Portuguese pele usually means 'skin' or 'fur'  but it can also mean 'leather'.
fight  brawl,pelea < Lat. pilus,briga < Ita. or Occitan briga,Portuguese also has peleja
riff-raff  mob,chusma < Genoese ciüsma < Gr. κέλευσμα,canalha < Occitan canalha,[empty]
police station,comisaría (de policía) < Lat. + Gr. comissarius + politia < πολιτεία,esquadra  posto de polícia < Lat. + Gr. ex-quadrata  positus + politia < πολιτεία,Brazilian Port. tends to use 'delegacia (de polícia)'
litter  rubbish,basura < Lat. versūra,lixo < Lat. līx < līcis,[empty]
hole,agujero < Lat. + suffix acucŭla + ero,buraco < Proto-Germanic burō  burōną[6],[empty]
drill,taladro < Lat. taratrum,furadeira (Brazilian Portuguese) < Lat. forare + eira or berbequim (European Portuguese) < Fr. vilebrequin < Dutch wimmelkijn,[empty]
demolition hammer,rompedor < Lat. rumpere + dor,martelo demolidor < Lat. martulus demolitio + dor,[empty]
sauce,salsa < Lat. salsus,molho < Lat. manuculus < manipulus,[empty]
plane,cepilladora < Lat. cippus + dora,plaina < Lat. planea,[empty]
camshaft  camshaft tree,árbol de levas < Lat. arbōs + levare,árvore de cames < Lat. + Germanic arbōs + kamm,[empty]
gills,branquias < Lat. < Gr. branchĭa < βραγχια,guelras < Proto-Germanic gelunaz,In zoology  Port. also uses brânquias (branchiae).
goose,oca < Lat. auca,ganso < Gothic/Suebian gans,Spanish also has ganso.
chicken,pollo < Lat. pullus,frango < Probably Fr. francolin < Ita. francolino  all of uncertain origin,[empty]
lamp,lámpara < Lat. lampăda,'candeeiro < Lat. candelae,Portuguese lâmpada usually means 'light bulb' (except in certain idioms  like lâmpada de Aladino  i.e.  'Aladdin's lamp')
meal,comida < Lat. comedere,refeição  repasto (arch.) < Lat. refectionis  re+pastus,Portuguese 'comida' means food
owl,búho < Lat. bubo,coruja (*maybe from Lat. cunicularis) of uncertain origin,[empty]
kennel,perrera < uncertain origin  perhaps Pre-Roman. perro + era,canil < Lat. canis + il,[empty]
cattery,criadero < Lat. creāre + era,gatil < Proto-Ger. kattuz + il,[empty]
ground,suelo < Lat. solum,chão < Lat. planus,Port. also has solo.
office,despacho < Lat. dispactus,gabinete  escritório < Occitan  Lat. cabana  scriptōrium,[empty]
ground floor,planta baja < Lat. planta + bassus,rés-do-chão  rés-de-chão< Lat. rāsus + planus,Brazilian Port. tends to use térreo
buoy,flotador < Fr. + Sp. suffix flotter + dor,boia < Old Fr. bouée < Frankish baukan,[empty]
nappy  diaper (baby),pañal < Lat. pannus,fralda < Gothic falthan/faldan,[empty]
performance,representación < Lat. representatio,performance < Eng 'performance' < Anglo-French performer < parfornir,[empty]
preemptive,preventivo < Lat. praeventus,preemptivo < Eng 'preemptive' < Lat praeemptio,[empty]
report,informe < Lat. informis,relatório < Lat. relatus + ório suffix < refferre,[empty]
highlight,realce < Lat. + prefix re + altiare,destaque < Germanic stak,[empty]
prison,cárcel < Lat. carcer,prisão< Lat. prehensionis,Span. also has prisión and Port. archaic cárcere.
squirrel,ardilla < Pre-Roman harda or probably Berber aġárda,esquilo Lat. scūrĭōlus < Gr. σκίουρος,[empty]
garret  mansard,zaquizamí [7] buhardilla < Hisp-Ar. سقف في السماء (saqf fassamā)  < Lat. bufus < buharda,água-furtada  mansarda < Lat. aquam + furtus  < Fr. mansarde < François Mansart (architect),[empty]
watercress,berro < Celtic bẹrŭro,agrião < Gr. άγριος,[empty]
mint,menta < Lat. mentha < Gr. μίνθη,hortelã < Lat. hortus,Port. also has menta.
sour cherry,cereza gordal < Lat. cerasium + gurdus,ginja < Frankish wīhsina,[empty]
stepchild,hijastro(a) < Lat. filiaster,enteado(a) < Lat. ante + natum,[empty]
step-brother,hermanastro(a) < Lat. + suffix germanus + astro,meio-irmã(o) < Lat. medius + germānus,[empty]
stump  amputated limb,muñón < Pre-Roman/Basque muno,coto < Celtic-Goidelic cotach < cuid,[empty]
baby changing (area),cambiador (infantil) < Lat + dor cambium,fraldário < Gothic + arius faldan,[empty]
blade,hoja < Lat. folium,lâmina < Lat. lammĭna,[empty]
butcher(s)(shop),carniceria < Lat. carniceus,talho < Lat. taleare,[empty]
shoe polish,betún < Lat. bitūmen,graxa < Lat. crassus,[empty]
shaving,afeitar < Lat. affectāre,barbear < Lat. barba + ear,[empty]
pocket knife,navaja < Lat. novacŭla,canivete < Old Fr. canivet < Frankish 'knif'[8],Portuguese 'navalha' means razor.
diving,buceo < Port. búzio < Lat. bucĭna,mergulhar < Lat. merguliāre,[empty]
bait,cebo < Lat. cibus,isca < Lat. escae,[empty]
skirt,falda < Germanic faldan,saia < Lat. sagum < Celtic sagos  sag,[empty]
glasses,gafas < Uncertain  maybe Arabic qafca[9],óculos < Lat. oculus,[empty]
stiffness (muscular),agujetas < Lat. acus + suffix eta,dor muscular < Lat. dolor + mus +culus,[empty]
operating theatre,quirófano < Gr. χείρ + φαίνω,sala de operações  sala de cirurgia  bloco operatório < Ger + Lat. sal + operatio  < Ger + Gr. sal + χειρουργική  < Ger + Lat. bluk(k)an + operatio,[empty]
stem cell research,investigación con células madre < Lat. vestigium + cum + cellula + mater,pesquisa de células estaminais < Lat. perquirere + de + cellula + staminis,[empty]
stream  creek,arroyuelo < Pre-Roman arrugia,ribeira  ribeiro < Lat. riparius < ripae,[empty]
stubborn,testarudo < Lat. testa + rudis,teimoso < Lat. thema  < Gr. théma,[empty]
plateau,meseta < Lat. mensa + Sp. suffix eta,planalto < Lat. planus + altus,[empty]
wave,ola < Uncertain origin,vaga < Gothic vega[10] or < Old Norse vágr [11] both from Ancient Germanic 'vigan' to shake,Port. also has onda.
broom,aulaga < Ar. algawláqa,vassoura  giesta  carqueja < Lat. verrere  < Lat. genista  < Maybe Lat. quercus,[empty]
pants  knickers,bragas < Lat. braca < Celtic bracae,cuecas < Lat. culus + suffix 'ecas',[empty]
(bed) sheet,sábana < Lat. sabăna,lençol < Lat. linteolum,[empty]
basketball,baloncesto < Frankish balla + Lat. cista,basquetebol < Eng. basketball,[empty]
reporter,periodista  periodicista < periódico+ suffix 'ista',repórter < Eng. reporter < Medieval Fr. reporteur,Spanish also has reportero
ricochet,rebote < Frankish + Lat. prefix boter,ricochete < Fr. ricochet,[empty]
riff-raff  mob,chusma < Genoese ciüsma < Gr. κέλευσμα,canalha < Occitan canalha,[empty]
cashew,anacardo < Lat. anacardium,caju < Tupi aka'yu,[empty]
mushrooms,setas < Uncertain origin,cogumelos < Lat. cucumellum < cucuma,[empty]
oleander,adelfa < Ar. دفلى diflà,aloendro  loendro'< Lat. lorandrum,[empty]
pumpkin,calabaza < Pre-Roman,abóbora < Lat. peporis,Port. cabaça means 'calabash
squid,calamar < Lat. calamarius,lula < Lat. lura,Port. also has calamar
date,fecha < Lat. facta,data < Lat. data,[empty]
elsewhere  somewhere  nowhere,en otro lugar < Lat. in alter localis  en alguna parte < Lat. in aliquis unos pars  en ningún lugar < Lat. in nec unus localis,alhures < Provençal alhors  algures < Lat. + Provençal aliquod + hors  nenhures < Lat. + Provençal nec + hors,[empty]
nobody,nadie < Lat. nati < natus,ninguém < Lat. nec + quem,[empty]
lawn,césped < Lat. caespes,relvado  grama < Lat. relevare  < Lat. gramen,[empty]
holiday  vacation,vacaciones < Lat. vacatio < vacationis,Férias < Lat. feriae,[empty]
card,tarjeta < Fr. targe + diminutive suffix eta,cartão  carta < Gr. χάρτης < Lat. charta,[empty]
beef steak,filete < Lat. filum,bife < Eng. beef steak,Port. also has filé
retaliation,retorsión < Lat. retorsus,retaliação < Lat. retalio,[empty]
remorse,arrepentimiento < Lat. re + paenitere,remorso(s) < Lat. remorsus < remordere,Sp. also has remordimiento
boot (car),maletero < Old Fr. + Sp. suffix malle + eta + ero,porta-bagagens < Lat. + Germanic portare + baugaz,[empty]
glove box (car),guantero < Frankish + Sp. suffix want + ero,porta-luvas < Lat. + Gothic/Suebian portare + lôfa,[empty]
thin,delgado < Lat. delicātum,magro < Lat. macrum,Sp. magro means 'lean'  in reference to meat
surface  peel,superficie < Lat. superficĭes,tona < Celt. tondā/tunna,Port. also has superfície.
earring,pendiente < Lat. pendere,brinco < Lat. vinculum,[empty]
watermelon,sandía < Ar. sindiyyah,melancia < balancia < Lat. bilanx,[empty]
passion fruit,fruto de la pasión < Lat. fructa + passio,maracujá < Tupi moruku'ia,Sp. also has maracuyá
