Research Networking Tool,h-index,Citation count,Altmetrics,SNIP and SJR,Journal Impact Factor*,Other,Comment
Academic Room,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Activity Insight,Yes,Yes,Yes,Yes,Yes,[empty],[empty]
C-IKNOW,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),Yes,Yes,Yes,Yes,Yes,[empty],[empty]
Community Academic Profiles - CAP,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
InCites,Yes,Yes,Yes Can integrate with altmetric data feed,No,Yes,[empty],[empty]
CurvitaTM Profile Manager,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CUSP - Columbia University Scientific Profiles,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Digital Vita,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Elsevier's Pure (integrated with SciVal),Yes,Yes,Yes Altmetric and PlumX,Yes,No,Field-weighted Citation Impact  Number of Authors  CiteScore,[empty]
Elsevier's SciVal,Yes,Yes,Yes Views data from ScienceDirect and Scopus,Yes,No,20+ indicators ranging from h  g & m indices  to Publications in Top Journal Percentiles  Field-Weighted Citation Impact  Academic-Corporate Collaboration Impact & Views per Publication,[empty]
Epernicus Solutions & Epernicus Network,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ERIM Member Profile System (ERIM MIS),[empty],[empty],[empty],[empty],[empty],[empty],[empty]
EUREKA!TM Enhancing Student Research,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Expertise @ Maryland,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Faculty Profile System,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Faculty Research Information Profile (FRIP),[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Faculty Scholarly Productivity Index,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GENIUS,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Google Scholar,Yes,[empty],[empty],[empty],[empty],[empty],[empty]
HUBzero,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
iamResearcher,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
iAMscientist,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
i2iConnect,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
InCites,Yes,Yes,Yes Recorded Future partnership provides customized newsfeed and instition activity from web content,No,Yes,[empty],[empty]
INDURE,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LatticeGrid,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Lattes Database,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LinkedIn,No,No,None,[empty],[empty],[empty],[empty]
Life Science Network,No,No,Yes (views counts  recommendations  rating scores calculated from anonymous and non-anonymous contributions),No,No (but journals can be entered into the database and their IF indicated),[empty],[empty]
Loki,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Lyterati,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
McCormick Collaboration Visualization Tool,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MizzouLinks,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MyScienceWork,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OSU:pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pivot,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Profiles,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ReachNC,Yes,[empty],[empty],[empty],[empty],[empty],[empty]
Research Accelerator,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ResearcherID,Yes,Yes,[empty],[empty],[empty],[empty],[empty]
SciENcv,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Symplectic Elements,Yes,Yes,Yes,Yes,Yes,[empty],[empty]
VIVO,[empty],[empty],Yes,[empty],[empty],[empty],[empty]
Yaffle,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
