Name,x86  i386  IA-32,x86 SMP,Xen,IA-64,x86-64,PowerPC,PowerPC SMP,SPARC32,SPARC SMP,Alpha,MIPS,ARM,XScale,M68k,PA-RISC,OpenRISC,others,hosted mode
Linux,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,FR-V  Cell  ETRAX CRIS  M32R  Xtensa  h8  s390  SuperH,UML  coLinux  MkLinux  Itanium Linux-on-Linux  wombat
FreeBSD[1],Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,PC98,[empty]
OpenBSD[2],Yes,Yes,No,No,Yes,Yes,No[Note 1][3],Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,SuperH  VAX  m88k,[empty]
NetBSD[4],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,SuperH  ns32k  VAX  hppa  M68010  mipseb  mipsel  sh3eb  sh3el  sparc64,[empty]
DragonFly BSD[5],No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,[empty],vkernel
OpenSolaris[6] illumos,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,[empty],[empty]
AuroraUX[6],Yes,Yes,Yes,No,Yes,Yes[Note 1],No,Yes,Yes,No,Yes[Note 1],Yes,No,No,No,No,[empty],[added]
Darwin  OpenDarwin[7],Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,[empty],L4/Darwin
MINIX[8],Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,[empty],[empty]
FreeDOS,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[empty],[empty]
Genode,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,RISC-V,Linux
Haiku,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No[Note 1][9],No,No,No,No,[empty],[empty]
KolibriOS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,[empty],[empty]
MenuetOS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,[empty],[empty]
GNU,Yes,Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],Yes[Note 2],FR-V  Cell  ETRAX CRIS  M32R  Xtensa  h8  s390  SuperH[Note 2],UML  Itanium Linux-on-Linux[Note 3]
ReactOS,Yes,Yes,No[Note 1],No,Yes,No[Note 1],No[Note 1],No,No,No,No,Yes,No,No,No,No,[empty],[empty]
L4  Pistachio,Yes,No,No,Yes[Note 4],Yes[Note 4],Yes[Note 4],No,No,No,Yes[Note 4],Yes[Note 4],Yes,No,No,No,No,[empty],[empty]
Plan 9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes[Note 5],Yes[Note 5],Yes,Yes,Yes,Yes,Yes[Note 5],No,No,See[10][11],lguest  vx32
AROS,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,[empty],i386-linux  i386-freebsd
Syllable,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[empty],[empty]
Inferno,Yes,?,No,No,?,Yes,?,Yes,?,No,Yes,Yes,Yes,Yes[Note 5],No,No,AMD Am29000 [Note 5] Texas Instruments OMAP,Microsoft Windows  Linux  FreeBSD  Plan 9  OS X  Solaris  Irix  UnixWare [Note 5] HP-UX [Note 5] Internet Explorer
FreeRTOS,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,AVR  PIC  MSP430  HCS12  8052  MicroBlaze  Cortex-M3  H8S,[empty]
eCos,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,CalmRISC  ColdFire  FR-V  h8  Matsushita AM3x  Nios II  NEC V8xx  SuperH,Microsoft Windows  Linux
RTEMS,Yes,No,Xen,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Blackfin  Nios II  Coldfire  Texas Instruments C3x/C4x  SuperH  H8S,Linux  Solaris  Cygwin  FreeBSD  multiple CPU simulators
HelenOS,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,[empty],[empty]
E/OS,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,[empty],[empty]
TempleOS,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,[empty],QEMU  VirtualBox  etc.
Name,x86  i386  IA-32,x86 SMP,Xen,IA-64,x86-64,PowerPC,PowerPC SMP,SPARC32,SPARC SMP,Alpha,MIPS,ARM,XScale,M68k,PA-RISC,OpenRISC,other,hosted mode
