Name,Language,License,Type,Configurable titlebar buttons,Graphical configuration,Hotkeys,ICCCM/EWMH compliant,Panel for window switching,Tabbed windows,Themeable,Memory (MB)[1],Initial Release,Last Stable Release
9wm,C,MIT,Stacking,No,No,No,[empty],Yes,No,No,0.4,1994,[added]
aewm,C,MIT,Stacking,No,No,No,Yes,Yes,No,No,[empty],[empty],[added]
awesome,C  Lua,GPL,Dynamic,Yes,No,Yes,Yes,Yes,No,Yes,9,2007-09-18,[added]
Blackbox,C++,MIT,Stacking,No,third-party,with bbkeys,through 0.65 / from 0.70[2],Yes,No,Yes,3,[empty],[added]
Compiz,C (OpenGL),MIT,Compositing,Yes,Yes,Yes,Yes,third-party,Yes,Yes,[empty],2006,2016-11-11
cwm,C,ISC,Stacking,no titlebar buttons,No,Yes,[empty],No,No,Yes,[empty],2004-07-10,[added]
dwm,C,MIT,Dynamic,no titlebar buttons,No,Yes,[empty],Yes,No,Yes,1,2006-07-14,[added]
Enlightenment,C,BSD,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,[empty],1997,2018-03
evilwm,C,Artistic[3],Stacking,no titlebar buttons,No,Yes,Partial[4],No,No,Yes,[empty],[empty],[added]
Fluxbox,C++,MIT,Stacking,Yes,third-party,Yes,Yes[5],Yes,Yes,Yes,16,[empty],[added]
FLWM,C++ (FLTK),GPL,Stacking,[empty],No,Yes,[empty],There is a window list menu,No,No,[empty],1998,[added]
FVWM,C,GPL,Dynamic,Yes,No,Yes,Yes,Yes,Yes[6],third-party[7][8],4,1993-06-01,[added]
i3,C,BSD,Dynamic,no titlebar buttons,No,Yes,Yes,No,Yes,Yes,3,2009-03-15,[added]
IceWM,C++,LGPL,Stacking,Yes,third-party,Yes,Yes,Yes,No,Yes,4.5,1997,[added]
Ion,C  Lua,LGPL with naming restrictions on modified versions,Tiling,no titlebar buttons,No,Yes,[empty],No,Yes,Yes,[empty],2000,2009-01-10
JWM,C,MIT (Formerly GPL),Stacking,Yes,third-party,Yes,EWMH,Yes,No,Yes,3,[empty],[added]
KWin (KDE),C++ (Qt),GPL,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,41,[empty],2018-10
Matchbox,C,GPL,Stacking,[empty],[empty],[empty],EWMH compliance,No,No,Yes,[empty],2007-04-13,[added]
Metacity (GNOME),C  C++ (GTK+),GPL,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,[empty],2002-10,2016-09
Mutter (GNOME/MeeGo),C (Clutter),GPL,Compositing,Yes,Yes,Yes,Yes,Gnome Shell,No,Yes,18.6,2011-04,2018-09
mwm (Motif Window Manager),C,The Open Group Public License,Stacking,No,No,Yes,[empty],[empty],[empty],can change colours,[empty],1989,[added]
Openbox,C,GPL,Stacking,Yes,third-party,Yes,Yes,third-party,No,Yes,7,2002-09-18,[added]
PekWM,C++,GPL,Stacking,Yes,No,Yes,Partial,No,Yes,Yes,5.3,[empty],[added]
PlayWM,C,GPL,Stacking,Yes,No,Yes,Yes,Yes,No,Yes,[empty],[empty],[added]
Ratpoison,C,GPL,Tiling,No,No,Yes,No,No,No,No,1,2000-12-04,[added]
Sawfish,Lisp  C,GPL,Stacking,Yes,Yes,Yes,Partial,Yes,primitive,Yes,3.1,2000-01-01,[added]
sithWM,C,GPL,Stacking,no titlebar buttons,No,Yes,[empty],No,No,Yes,[empty],[empty],[added]
spectrwm,C,ISC,Dynamic,no titlebar buttons,No,Yes,Yes,No,No,solid colors,[empty],[empty],[added]
steamcompmgr,unknown,BSD-2-clause,Compositing,No,No,Yes,[empty],No,No,No,[empty],2013,[added]
StumpWM,Common Lisp,GPL,Tiling,No,No,Yes,No,No,No,No,[empty],[empty],[added]
twm,C,MIT,Stacking,Yes,No,Yes,[empty],Yes,No,solid colors,1.2,1987,[added]
WMFS,C,BSD,Tiling,Yes,No,Yes,Yes,Yes,Yes,Yes,[empty],[empty],[added]
Window Maker,C,GPL,Stacking,No,Yes,Yes,Partial,Yes,Yes,Yes,7,1997,[added]
Wingo,Go,WTFPL,Dynamic,Yes,No,Yes,Yes,Yes,No,Yes,[empty],[empty],[added]
wmii,C,MIT,Dynamic,Yes,No,Yes,Yes,No,Yes,Yes,[empty],2005-06-01,[added]
Xfwm (Xfce),C  C++ (GTK+),GPL  LGPL,Compositing,Yes,Yes,Yes,Yes,Yes,No,Yes,70,[empty],[added]
xmonad,Haskell,BSD,Dynamic,Yes,No,Yes,Yes / ?,third-party,Yes,Yes,2,2007-03-06,[added]
uwm,C,Similar to BSD license,Stacking,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],1985,[added]
Name,Language,License,Type,Configurable titlebar buttons,Graphical configuration,Hotkeys,ICCCM/EWMH compliant,Panel for window switching,Tabbed windows,Themeable,Memory (MB),Initial release,Last Table Release
