Rank,Country/Territories,US$
1,District of Columbia,188.782
2,Luxembourg,105.863
3,Switzerland,80.637
4,New York,78.354
5,Delaware,77.931
6,Massachusetts,77.433
7,Norway,75.389
8,North Dakota,73.214
9,Connecticut,72.929
10,Alaska,71.155
11,Iceland,70.248
12,California,69.984
13,Washington,69.478
14,Wyoming,68.806
15,Ireland,68.710
16,New Jersey,66.157
17,Maryland,65.426
18,Illinois,64.083
19,Nebraska,63.852
20,Minnesota,63.608
21,Colorado,61.862
22,Hawaii,61.696
23,Qatar,61.024
24,Texas,60.878
25,Iowa,60.673
26,Virginia,60.470
27,New Hampshire,60.321
-,United States,59.792
29,Pennsylvania,58.828
30,Singapore,57.713
31,Oregon,57.706
32,South Dakota,57.690
33,Denmark,56.630
34,Rhode Island,56.282
35,Wisconsin,56.078
36,Ohio,55.890
37,Australia,55.692
38,Kansas,54.276
39,Utah,54.249
40,Indiana,54.141
41,Georgia (U.S. state),53.758
42,Nevada,53.167
43,North Carolina,53.050
44,Sweden,52.925
45,Louisiana,52.602
46,Tennessee,51.903
47,Vermont,51.549
48,Michigan,50.081
49,Missouri,50.041
50,Netherlands,48.555
51,Oklahoma,48.211
52,San Marino,47.595
53,Austria,47.347
54,Florida,46.930
55,New Mexico,46.655
56,Arizona,46.147
57,Montana,46.136
58,Maine,46.117
59,Finland,45.927
60,Kentucky,45.641
61,Canada,45.094
62,Germany,44.769
63,South Carolina,44.162
64,Belgium,43.488
65,Alabama,43.377
66,West Virginia,41.939
67,Arkansas,41.803
68,Idaho,41.729
69,New Zealand,41.572
70,Israel,40.272
71,France,39.932
72,United Kingdom,39.800
73,Japan,38.448
74,United Arab Emirates,37.732
75,Mississippi,37.376
-,European Union,33.800
76,Italy,31.996
77,Bahamas,31.660
78,South Korea,29.938
79,Spain,28.358
80,Brunei,28.278
81,Kuwait,27.393
82,Malta,27.326
83,Cyprus,25.380
84,Bahrain,24.325
85,Taiwan,24.292
86,Slovenia,23.654
87,Portugal,21.158
88,Saudi Arabia,21.096
89,Czech Republic,20.401
90,Estonia,19.735
91,Greece,18.637
92,Barbados,17.757
93,Slovakia,17.655
94,Saint Kitts and Nevis,17.397
95,Oman,17.128
96,Uruguay,16.941
97,Lithuania,16.730
98,Antigua and Barbuda,16.702
99,Trinidad and Tobago,16.637
100,Palau,15.980
101,Seychelles,15.859
102,Latvia,15.550
103,Panama,15.089
104,Chile,15.067
105,Equatorial Guinea,14.817
106,Argentina,14.462
107,Hungary,14.209
108,Poland,13.821
109,Croatia,13.271
110,Maldives,12.527
111,Lebanon,12.013
112,Costa Rica,11.728
113,Russia,10.955
114,Romania,10.785
-,World,10.728
115,Turkey,10.537
116,Mauritius,10.504
117,Grenada,10.405
118,Brazil,9.895
119,Malaysia,9.755
120,Saint Lucia,9.606
121,Mexico,9.318
122,Kazakhstan,8.762
123,China,8.643
124,Nauru,8.574
125,Bulgaria,8.077
126,Dominica,7.879
127,Montenegro,7.678
128,Botswana,7.584
129,Dominican Republic,7.477
130,Gabon,7.373
131,Saint Vincent and the Grenadines,7.124
132,Venezuela,6.890
133,Peru,6.731
134,Turkmenistan,6.642
135,Thailand,6.590
136,Colombia,6.379
137,Ecuador,6.216
138,South Africa,6.179
139,Serbia,5.901
140,Suriname,5.869
141,Belarus,5.727
142,Paraguay,5.600
143,Namibia,5.589
144,Fiji,5.527
145,Macedonia,5.474
146,Iran,5.289
147,Jamaica,5.193
148,Bosnia and Herzegovina,5.180
149,Iraq,4.950
150,Belize,4.806
151,Libya,4.739
152,Guyana,4.578
153,Albania,4.544
154,Tonga,4.520
155,Guatemala,4.469
156,Angola,4.465
157,Samoa,4.258
158,Azerbaijan,4.140
159,Jordan,4.135
160,Georgia,4.085
161,Sri Lanka,4.073
162,Algeria,4.033
163,Kosovo,3.944
164,Swaziland,3.915
165,El Salvador,3.894
166,Indonesia,3.876
167,Armenia,3.861
168,Mongolia,3.640
169,Tuvalu,3.638
170,Marshall Islands,3.625
171,Tunisia,3.496
172,Bolivia,3.353
173,Cape Verde,3.238
174,Micronesia,3.200
175,Morocco,3.151
176,Vanuatu,3.094
177,Philippines,2.976
178,Bhutan,2.903
179,Papua New Guinea,2.861
180,Honduras,2.766
181,Ukraine,2.583
182,Laos,2.542
183,Egypt,2.501
184,Vietnam,2.354
185,Moldova,2.280
186,Nicaragua,2.207
187,East Timor,2.104
188,Solomon Islands,2.081
189,Nigeria,1.994
190,Djibouti,1.989
191,India,1.983
192,Republic of the Congo,1.958
193,São Tomé and Príncipe,1.785
194,Kiribati,1.721
195,Kenya,1.702
196,Ghana,1.663
197,Côte d'Ivoire,1.617
198,Bangladesh,1.602
199,Pakistan,1.541
200,Uzbekistan,1.491
201,Zambia,1.480
202,Sudan,1.428
203,Lesotho,1.425
204,Cameroon,1.401
205,Cambodia,1.390
206,Mauritania,1.318
207,Myanmar,1.264
208,Zimbabwe,1.176
209,Kyrgyzstan,1.144
210,Senegal,1.038
211,Tanzania,1.034
212,Eritrea,980
213,Ethiopia,873
214,Nepal,834
215,Benin,830
216,Tajikistan,824
217,Mali,811
218,Chad,810
219,Guinea-Bissau,794
220,Comoros,788
221,Haiti,784
222,Rwanda,772
223,Guinea,749
224,Liberia,729
225,Uganda,699
226,Burkina Faso,664
227,Togo,611
228,Afghanistan,588
229,Yemen,551
230,Sierra Leone,491
231,Gambia  The,480
232,Democratic Republic of the Congo,478
233,Madagascar,448
234,Niger,440
235,Mozambique,429
236,Central African Republic,387
237,Malawi,324
238,Burundi,312
239,South Sudan,228
