Portuguese,Spanish,English
cola (< Lat. coloere),glue
vaso (< Lat. vasum),maceta  tiesto (< Hisp.-Ar. maceta  maybe < Ital. mazzetto; < Lat. testu)
floco (< Lat. floccus),flake
competência (< Lat. competentia),competence  competency
despido (< Lat. expedire),naked
osso (< Lat. ossum),bone
pez (< Lat. pix),pitch  resin
polvo (< Gr. πολύπους),octopus
tenda (< Lat. tenda < tendĕre),tent  marquee
ganância (< Gothic ganan),greed  avarice  covetousness
inversão (< Lat. inversionis),inversion
embaraçada (< Lat. in + O.Port. baraça  of uncertain origin)
estafa (< Ital. staffa)
esquisito (< Lat. exquisitus)
moléstia (< Lat. molestiae)
serviço (< Lat. servitium)
perro (origin uncertain  maybe < Sp. perro)
berro (< Lat. barrire)
aceite (< Lat. acceptāre)
oficina (< Lat. officīna < officium)
firma (< Lat. firmus)
presunto (< Lat. persuctus)
risco (< Lat. reseca)
topo (< Gr. tópos)
