Meaning,Portuguese,Spanish < Arabic
stonemason,pedreiro < pedra < Lat. petra,albañil < al-bannī
mayor,alcalde < al-qāḍī
monkey  macaque,macaco < Uncertain  maybe Bantu makaku,mono < ﻣﻴﻤﻮﻥ (maymūn)
aloe,aloé < Lat. aloe
blackbird  thrush,melro  tordo < Lat. merŭlus  < Lat. turdus
cruet (set),galheteira(s) < Fr. gallette (< Gaulish gallos) + Port. suffix -eira,alcuza < al-kūza (< Aram. kūz[ā] < Pers. kuze)[15]
gannet,mergulhão < Vulg.Lat. merguliāre < mergulus
bishop (chess),bispo < Lat. episcopus,alfil < al-fīl 'elephant'
potter,oleiro < Lat. ollārius,alcaller  alfarero < Hisp-Ar. alqallál [18] alfaẖẖār < فخ خار[19]
fuss  overreaction,gritaria  confusão < Lat. critare  < Lat. confusionis,alharaca < Hisp-Ar. alḥaráka < ḥarakah[20]
sparrowhawk  shabby  pen-pusher,falcão-peregrino  pelintra  lacaio < Lat. falco + peregrinus  < Uncertain origin  < Fr. laquai,tagarote < Berber táhért or maybe < Ar. táhurtí
cork oak,sobreiro < Lat. (quercus) suber,alcornoque < Hisp.-Ar alqurnúq < Lat. quernus + Hisp suffix occus
cobble (stone),paralelo < Gr. παραλληλεπίπεδον,adoquín < addukkín < دكان (dukkān)
defence (player),defesa (jogador) < Lat. defensa
epilepsy  apoplexy,epilepsia  apoplexia < Lat. < Gr. epilepsĭa < ἐπιληψία  < Lat. < Gr. apoplexĭa < ἀποπληξία,alferecía < Hisp-Ar. alfaliǧíyya[21]
sales tax,imposto de venda < Lat. imponĕre + venditus,alcabala < Hisp.-Ar. alqabála
flight attendant,hospedeira < Lat. hospitem (+ Port. -eira)
indigo,índigo < Lat. indicum,añil < Hisp.-Ar. an-Nile
lavender,lavanda < Lat. lavandula,alhucema < Ar. لْخُزَامَى al-ḵuzāmā[22]
sill  parapet (i.e. window),parapeito < Gr. + Lat. para + pectus,alféizar < Hisp.-Ar. alḥáyza < Ar. ḥā'izah[23]
lad  youth,rapaz  jovem < Lat. rapax  juvene
munchkin  wimp  caramel bar,monstrinho  frouxo  caramelo < Lat.  *Uncertain probably Lat. monstrum  fluxus  *cannamellis,alfeñique < Hisp.-Ar.fa[y]níd[24]
myrtle,murta  mirto < Lat. myrtus < Gr. μύρτος
rental,aluguel/aluguer  locação  renda < Lat. locarĭum  locatio  Lat. rendita  reddere,alquiler < kira
beach  boulevard,areal  passeio < Lat. arēnāle  passus,rambla < ramla[25]
flip-flops  slippers,chinelo < Ita. pianella < Lat. planus,chanclas < late Lat. zanca < Persian zanga
drunk,bêbedo < Lat bibutus,borracho < Cat. morratxa[26] < al-miįrášš
farmstead,casal < Lat. casa,alquería < Hisp.-Ar. alqaríyya < qaryah
gazpacho (soup),gaspacho < Sp. gazpacho,gazpacho < Hisp.-Ar. gazpáčo < Gr. γαζοφυλάκιον
cupboard  pantry,armário < Lat. armarium
sewer,esgoto < Lat. es + gŭtta,alcantarilla < al-qantarah
floorcloth,pano de chão < Lat. pannus + de + planus,aljofifa < alǧaffífa[28]
amount,montante  valor < Lat. montare  valoris
oil,óleo < Lat. oleum (Port. azeite is exclusively 'olive oil'.)
melissa (herb),erva-cidreira  melissa < Lat. herba + citrea  < Gr. mélissa
plug,tomada  encaixe < Uncertain origin  < Lat. in + capsa,enchufe < Hisp.-Ar.guf < Ar.gawf
basil,manjericão  basílico < Uncertain origin  maybe a combination of Por. manjar and < Lat. basilicon  < Lat. basilicum,albahaca < al-habaqa
yellow glandweed,erva-peganhenta < Lat. herba + picare,algarabía (pegajosa) < Hisp-Ar.al‘arabíyya + Lat. picare
sir  lord,senhor < Lat. seniorem,Cid < sidi or sayyid (سيد)[30]  ref. to the historical hero El Cid (the common noun in Sp. is señor)
mullah,mulá < Eng. mullah,ulema < fr. uléma <ar. clas. ulamā?'  pl. of ālim 'wise[31]
gambler  cheat,jogatana  batoteiro < Lat. jocus  < Latinised < Celt. battuĕre < bathu,tahúr  tafur ant. < -Ar. takfūr < Arm. T'agawor[32]
pea,ervilha < Lat. ervilia,guisante < Hisp.-Ar. biššáuṭ < Lat. pisum sapidum
mackerel,cavala < Celt. caballos,jurel < Hisp.-Ar. šuríl  < Lat. saurus  < Gr. σαῦρος
piggy bank  moneybox,mealheiro < Lat. micalea  micae + suffix 'eiro',alcancía < Hisp.-Ar. alkanzíyya
poppy,papoila or papoula < Lat. papaver,amapola  ababol < Hisp.-Ar. ḥababawra
esparto (grass),esparto < Lat. spartum
orange blossom,flor de laranjeira < Lat. flos < floris + < Sanskrit नारङ्ग nāraṅga,azahar < azzahár < zahr[33]
scorpion,escorpião < Lat. scorpio
syrup,calda < Lat. calda,almíbar < al-miba
waistcoat,colete < Ital. coletto,chaleco < yalika
wallflower,goivo < Celt. gulb,alhelí < alhayrí
bathrobe  dressing-gown,roupão (de banho)  robe < Gothic raupa  < Fr. robe
corner,canto < Proto-Celtic kanto,rincón < rukūn < rukn
flowerbed,canteiro < Proto-Celtic kanto,arriate < riyāḍ
clown  buffoon,palhaço  bufão < Ital. pagliaccio  buffone
bowl  basin,bacia < via Late Lat. baccia from Gaulish bacca,tazón  jofaina < طَسَّة (tassah)  < algufáyna [34][35][36]
gully  trench,regueira < Proto-Celtic + Por. suffix ɸrikā,acequia < Hisp-Ar. assáqya < sāqiyah
bean,feijão < Lat. faseolus,alubia < al-lūbiyā
trivial  futile,fútil < Lat. futilis,baladí < balady بلدي
to flatter (verb),lisonjear < Provençal lauzenja  likely < Lat. laudis or Gaulish lawsyā < Proto-Celtic laws
to save (verb),poupar < Lat. palpare,ahorrar < alhurr الحر
to set (verb),engrenar  endentar < Fr. engrener  < Lat. in + dentis,engarzar < ġarzah
sheath  dressing,bainha  ligadura < Lat. vagina  < Lat. ligatura,jareta < šarīṭah
coffin  casket,caixão  urna < Lat. capsa  < Lat. urna,ataúd < التبوت at-tābūt
breast cancer,cancro da mama/câncer de mama < Lat. cancer
wild boar  wild swine,porco-montês  porco-bravo < Lat. porcus
clairvoyant  water diviner,vidente  vedor d’água < Lat. videns
rogue  crafty,trapaceiro < Fr. trappe < Low Frankish trappa + Por. suffix ceiro,zamacuco < ṣamakūk
snout  mug (colloquial),focinho < Lat. faucinu < faciēs
