Version,Last update,Dénomination JSE/JRE,Nom de code,Spécifications,JDK,Statut octobre 2018,Période de maintenance,Support étendu[23]
1.0,1.0.2,Java 1.0,Oak,JSR 52,JDK 1.0.2,N'est plus soutenu de façon active,1996-2000,
1.1,8_16,Java 1.1,,JSR 52,1.1.8_16,N'est plus soutenu de façon active,1997-2000,
1.2,2_017,J2SE 1.2,Playground,JSR 52,1.2.2_11,N'est plus soutenu de façon active,2000-2006,
1.3,1_29,J2SE 1.3,Kestrel,JSR 58,1.3.1_29,Obsolète,2000-2001,
1.4,2_30,J2SE 1.4,Merlin,JSR 59,1.4.2_30,Obsolète,2000-2008[24],
1.5,0_22 à 0_85,J2SE 5.0,Tiger,JSR 176,1.5.0_22,Obsolète, 5u51 à 5u85 uniquement disponibles avec un support Oracle spécifique[25],2002-2009[24],Mai 2015
1.6,0_45 à 0_111,Java SE 6,Mustang,JSR 270,6u113,Obsolète, 6u51 à 6u111 uniquement disponibles avec un support Oracle spécifique[25],2005-2013[24],Décembre 2018
1.7,0_79 à 0_80,Java SE 7,Dolphin,JSR 336,1.7.0_79,Stable, version 1.7.0_79[26],2011- 2015[24],Juillet 2022
1.8,0_171,Java SE 8,Kenai[27] puis Spider,JSR 337,1.8.0_171,Stable, version 1.8.0_171[28] proposée aux utilisateurs[29],2014-sept2018,Juillet 2019
9,9.0.4,Java SE 9,Umbrella,JSR379[30],9.0.4,Stable,2018-?,
10,10.0.1,Java SE 10,,JSR383,10.0.1,supporté 6 mois avant prochaine sortie du JDK Java11-LTS,2018, pas une version LTS (long term support),
11,11.0.1,Java SE 11,,JSR384,11.0.1,version LTS,2023,2026
