File format,Office Open XML,OpenDocument
Based on a format<br />developed by,Microsoft,StarDivision / Sun Microsystems
Predecessor file format,Microsoft Office XML formats,OpenOffice.org XML
Standardized by,Ecma International  ISO/IEC,OASIS  ISO/IEC
First public release date,2006,2005
First stable version,Ecma International Standard ECMA-376 Office Open XML File Formats 1st edition,OASIS OpenDocument Format for Office Applications (OpenDocument) v1.0
Latest stable version,ISO/IEC IS 29500-1:2012—Office Open XML File Formats<ref name="iso29500-1">http://www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=61750</ref>,OASIS Open Document Format for Office Applications (OpenDocument) v1.2
Latest ISO/IEC standardised version,ISO/IEC IS 29500-1:2012—Office Open XML File Formats<ref name="iso29500-1">http://www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=61750</ref>,ISO/IEC IS 26300:2006—Open Document Format for Office Applications (OpenDocument) v1.0
Language type,Markup language (XML),Markup language (XML)
XML schema representation,XML Schema (W3C) (XSD) and RELAX NG (ISO/IEC 19757-2),RELAX NG (ISO/IEC 19757-2)
Expression of extensibility rules,NVDL (ISO/IEC 19757-4),
Compression format,ZIP,ZIP
Container structure,Open Packaging Convention (ISO/IEC 29500-2:2012)<ref name="iso29500-2">http://www.iso.org/iso/home/store/catalogue_tc/catalogue_detail.htm?csnumber=61796</ref>,ODF Package<ref>http://blogs.sun.com/dancer/entry/dispelling_myths_around_odf</ref>
Metadata format,Dublin Core (ISO 15836),subset of Dublin Core and “urn:oasis:names:tc:opendocument:xmlns:meta” elements
Drawing language,DrawingML  VML,“urn:oasis:names:tc:opendocument:xmlns:drawing” elements and “urn:oasis:names:tc:opendocument:xmlns:svg-compatible” elements
Mathematical notation language,Office MathML (OMML),MathML<ref>http://wiki.services.openoffice.org/wiki/ODFValidator</ref><ref>http://www.robweir.com/blog/2006/08/demo-mathematica-mathml-and-odf.html</ref>
Change-tracking,<ref name="changetracking">http://blogs.msdn.com/dmahugh/archive/2009/05/13/tracked-changes.aspx</ref>,<ref>http://documentation.openoffice.org/HOW_TO/word_processing/Word-to-OOo.html</ref>
Conditional formatting in spreadsheets,<ref name="cf">http://blogs.msdn.com/dmahugh/archive/2007/10/02/conditional-formatting.aspx</ref>,<ref>http://openoffice.blogs.com/openoffice/2007/01/conditional_for.html?cid=123250788</ref>
Spreadsheet formula language,,
Macro language,,
Digital signatures,,
Thumbnails,JPEG (ISO/IEC 10918),PNG (ISO/IEC 15948)
Interchange of digital font information,Open Font Format (ISO/IEC 14496-22),
PANOSE font specifications,<ref>W3C Panose document standard proposal</ref>,
Filename extensions,docx  docm  xlsx  xlsm  pptx  pptm,odt  ods  odp  odg  odf
Internet media types
Application support,Office Open XML software,OpenDocument software
Standard licensing,ISO/IEC copyrighted free download<ref name="ISO_free">Freely Available ISO Standards</ref> Ecma copyrighted free download / copying allowed,ISO/IEC copyrighted free download<ref name="ISO_free"/> OASIS copyrighted free download / copying allowed
Additional technology patent licensing,Reasonable and Non Discriminatory Licensing (RAND-Z) Microsoft Open Specification Promise (OSP)<ref name="MS-OSP"></ref> Microsoft Covenant Not to Sue (CNS)<ref></ref>,Sun Microsystems intellectual property covenant IBM Interoperability Specifications Pledge<ref name="IBM-ISP-list">Interoperability Specifications Pledge</ref>
Implementations covered by patent license,<ref name="MS-OSP" />,<ref name="IBM-ISP-list" />
Implemented,(and later)<ref name=ArsTechnica></ref><ref name="SupportedFormats"></ref><ref name=cwO14></ref><ref name=notOOXML></ref> and LibreOffice (for Microsoft Office 2007 Office Open XML),
File format,Office Open XML,OpenDocument
