Name,FM radio,Microphone,Line-in recording,DVR recording,Playback while charging,USB host,HDMI out
Archos 105,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Archos 405,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Archos 5,With FM remote,With FM remote,With dock,With DVR dock,With dock,[empty],[empty]
Archos 605 WiFi / GPS,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Archos 705 WiFi,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Cowon A3,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Cowon D2,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Cowon Q5W,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Gigabeat T-Series,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GP2X F-200,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
iPod,Nano generations 5 & 6 only,[empty],[empty],[empty],[empty],[empty],iPod Touch only
iriver clix 2G,[empty],[empty],No<ref>Line-in recording is possible with the line-in jack on the optional cradle.</ref>,[empty],[empty],[empty],[empty]
PSP 1000 Series,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PSP Slim & Lite 2000 Series,[empty],Accessory only,[empty],[empty],[empty],[empty],[empty]
PSP Slim & Lite 3000 Series,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Samsung Galaxy Player,[empty],[empty],[empty],[empty],[empty],[empty],Korean version only
Samsung T10,[empty],[empty],[empty],[empty],Power only; no data<ref name="Power only">When the device is connected to a computer with a USB cable  the data lines put the device in a file sync mode where playback cannot occur. However  with adapters such as car chargers where there is no data connection  playback while charging is possible.</ref>,[empty],[empty]
Samsung P2,[empty],[empty],[empty],[empty],Power only; no data<ref name="Power only" />,[empty],[empty]
Sansa Fuze,[empty],[empty],[empty],[empty],Power only; no data<ref name="Power only" />,[empty],[empty]
Sansa Fuze+,[empty],[empty],[empty],[empty],Power only; no data<ref name="Power only" />,[empty],[empty]
Sansa View,[empty],[empty],[empty],[empty],Power only; no data<ref name="Power only" />,[empty],[empty]
Walkman NWZ-A810 series,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZEN,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ZEN Vision W,[empty],[empty],[empty],[empty],Power only; no data<ref name="Power only" />,[empty],[empty]
Zune,[empty],[empty],[empty],[empty],[empty],[empty],, Zune HD
Zvue 260,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
