Firewall,License,Cost and usage limits,OS
Avast Internet Security,[empty],Paid,Microsoft Windows
Comodo Internet <br>Security,[empty],Free,Windows 10/8.1/8/7/Vista x32/x64  XPx32
Intego VirusBarrier,[empty],Paid,Mac OS X 10.5 or later; on an Xserve
Kaspersky <br>Internet Security,[empty],Paid / 30 day trial,Windows unknown versions x32/x64
Lavasoft <br>Personal Firewall,[empty],Paid,Windows unknown versions x32/x64
Microsoft <br>Forefront Threat <br>Management <br>Gateway,[empty],Discontinued,Windows unknown versions x64
NetLimiter,[empty],Paid,Windows 10  8  7 x64
Norton 360,[empty],Paid,Windows unknown versions x32/x64
Online Armor <br>Personal Firewall,[empty],Discontinued,Windows unknown versions x32/x64
Outpost <br>Firewall Pro,[empty],Discontinued,Windows 10  8  7  Vista  XP x32/x64
PC Tools <br>Firewall Plus,[empty],Discontinued,Windows unknown versions x32/x64
Sygate <br>Personal Firewall,[empty],Discontinued,Windows unknown versions x32
Windows Firewall,[empty],Included with Windows XP SP2 and later,Windows Versions x32/x64
ZoneAlarm,[empty],Free / Paid,Windows 7 / Vista / XP SP3/ Windows 8  8.1. 10 x32/x64
Netfilter/iptables,GPL,Free,Linux kernel module
nftables,GPL,Free,Linux kernel (>=3.13) module
Shorewall,GPL,Free,Linux-based appliance
PeerBlock,GPL,Free,Windows 8/8.1  7  Vista x32/64
NPF,BSD,Free,NetBSD kernel module
PF,BSD,Free,*BSD kernel module
ipfirewall,BSD,Free,*BSD package
IPFilter,[empty],Free,Package for multiple UNIX-like operating systems
