Format,Languages
UCase(string),VB
ucase(string),FreeBASIC
toupper(string),AWK (changes string)
uc(string),Perl 5 / Perl 6
string.uc,Perl 6
toupper(char),C (operates on one character)
for(size_t i = 0  len = strlen(string); i< len; i++) string[i] = toupper(string[i]); for (char *c = string; *c != '\0'; c++) *c = toupper(*c);,C (string / char array)
std.string.toUpper(string),D
transform(string.begin()  string.end()  result.begin()  toupper)<ref name="cpptransform" />,C++<ref>std::string only  result is stored in string result which is at least as long as string  and may or may not be string itself</ref>
uppercase(string),Object Pascal (Delphi)
upcase(char),Object Pascal (Delphi) (operates on one character)
strtoupper(string),PHP
upper(string),Seed7
echo "string" | tr 'a-z' 'A-Z',Unix
Rexx
string.upper(),Python
upcase(string),Pick Basic
string.upcase,Ruby <ref name="ReferenceC"/>
strings.ToUpper(string),Go
(string-upcase string),Scheme  Common Lisp
String.uppercase string,OCaml
String.map Char.toUpper string,Standard ML
map Char.toUpper string,Haskell
string.toUpperCase(),Java  JavaScript
to_upper(string),Erlang
string.ToUpper(),VB .NET  C#  Windows PowerShell  F#
string.uppercaseString,Objective-C (NSString * only)  Swift (Foundation)
string.upper(string) <br /> (string):upper(),Lua
string asUppercase,Smalltalk
UPPER(string),SQL
ToUpperCase[string],Mathematica
«FUNCTION» UPPER-CASE(string),COBOL
string.toUpper,Cobra
string toupper string,Tcl
