Software,Platform,Availability,License,Version,Persistence Specification
Apache Cayenne,Java Virtual Machine,Open source,Apache License 2.0,3.0.2 / July 21  2011,[empty]
Dapper,.NET 4.0,Open source,Apache License 2.0,1.8 NuGet,[empty]
DataNucleus,Java Virtual Machine,Open source,Apache License 2,4.1.0.RELEASE / May 19  2015,JDO
DBIx::Class,Perl,Open source,Artistic License 1.0 & GPL,0.082820 / <ref></ref>,[empty]
Django,Python,Open source,BSD licenses,2.1 (1 August 2018),[empty]
Doctrine,PHP,Open source,MIT,2.4/April 8  2014,[empty]
ECO,.NET 4.0,Commercial,[empty],ECO 6 Final (2011-04-18<ref></ref>),[empty]
EclipseLink,Java Virtual Machine,Open source,Eclipse Public License Version 1.0 (EPL) and Eclipse Distribution License Version 1.0 (EDL),2.4.2 / July 4  2013,JPA 2.0
Entity Framework Core,.net core,Open Source,Apache License 2.0,2.0,[empty]
EntitySpaces,.NET 4.0,Open source,Modified BSD License,2012.1.0930.0 / October 4  2012,[empty]
Her,Ruby,Open source,MIT License,0.8.6 / <ref></ref>,[empty]
Hibernate,Java Virtual Machine,Open source,GNU Lesser General Public License,4.2.5 / August 28  2013,JPA 2.0
MyBatis/iBATIS,Cross-platform,Open source,Apache License 2.0,[empty],[empty]
jOOQ,Java Virtual Machine,Open source,Apache License 2.0 and Proprietary License,3.2.0 / October 9  2013,[empty]
Microsoft ADO.NET Entity Framework,.NET 4.5,Part of .NET 4.5,Apache License 2.0<ref></ref>,v6.0 (2014),[empty]
nHibernate,.NET 4.5,Open source,GNU Lesser General Public License,4.0 (2014-08-17<ref>NHibernate</ref>),[empty]
ODB,Cross-platform C++,Dual-licensed,GNU General Public License and Proprietary License,2.4.0 / February 11  2015,[empty]
RedBeanPHP,PHP,Open source,BSD License,4/April 1  2014,[empty]
SQLAlchemy,Python,Open source,MIT License,1.2.14 /,[empty]
SQLObject,Python,Open source,LGPL,3.7.0 /,[empty]
Skipper,PHP,Commercial,Proprietary software,3.0,[empty]
Storm,Python,Open source,LGPL 2.1,0.20 /,[empty]
SubSonic,.NET 2.0,Open source,New BSD,3.0 / July 2009,[empty]
TopLink,Java Virtual Machine,Commercial,Oracle License,10g,JPA
WebORB Integration Server,.NET  Java  PHP,Commercial & Open source,WebORB for .NET and WebORB for Java = Proprietary License  WebORB for PHP = Mozilla Public License,WebORB for .NET v.4.2 (Oct 2010)  WebORB for Java v.4.0 (Sep 2010)  WebORB for PHP (Sep 2008),[empty]
