Methods and properties,Java,C#
Static imports,[empty],<ref></ref>
Virtual methods,[empty],[added]
Abstract,[empty],[added]
Sealing,[empty],[added]
Explicit interface implementation,[empty],<ref name="interface"></ref>
Value (input) parameters,[empty],[added]
Reference (input/output) parameters,[empty],[added]
Output (output) parameters,[empty],[added]
Constant (immutable) parameters,; final parameters,[added]
Variadic methods,[empty],[added]
Optional arguments,;<ref></ref> Instead method overloading or varargs,[added]
Named arguments,[empty],[added]
Generator methods,[empty],[added]
Extension/default methods,[empty],[added]
Conditional methods,[empty],[added]
Partial methods,[empty],[added]
