+ List of source code editor features
Feature,Ace,CodeMirror,Orion,CodePress,CodeTextArea,EditArea,Helene,markItUp!,MDK-Editor
Implementation,,,,,,,,,
Syntax highlight,,,,,,,PHP,,
Syntax checking,,,,,,,,,
Tab support,,,,,,,,,
Indent  new line keeps level,,,,,,,,,
Indent  syntax,,,,,,,,,
Indent  selected block,,,,,,,,,
Bracket matching,,,,}},,,,,matching bracket ([{<>}]) always highlighted}}
XML matching tag highlight,,,,,,,,,
Code folding,,<ref></ref>,<ref></ref>,,,,,,
Code snippets,,,,,,,,,
Code suggestion,,,through esprima content assist plugin,,,}},,,
Toggle syntax highlight on/off,,,,,,,,N/A,
Keyboard shortcuts,,,,,,,,,
Line numbers,,,,,,,,,
Search & replace,,,,,,,,,
Spell checking,,,,,,,,,
Toolbar,,,,,,,,,
Visual styling,,,,,,,,,
Undo/Redo,,,,,,,,,
Multiple cursors / Block selection,,,,,,,,,
IndentGuides,,,,,,,,,
Inline widgets,,,,,,,,,
Non US charset support,,,,,,,,,
