Meaning,Portuguese,Spanish < Arabic
stonemason,pedreiro < pedra < Lat.,albañil < al-bannī
mayor,alcalde < al-qāḍī
monkey  macaque,macaco < Uncertain  maybe Bantu,mono < ﻣﻴﻤﻮﻥ (maymūn)
aloe,aloé < Lat.
blackbird  thrush,melro  tordo < Lat.   < Lat.
cruet (set),galheteira(s) < Fr. gallette (< Gaulish gallos) + Port. suffix -eira,alcuza < al-kūza (< Aram. kūz[ā] < Pers. kuze)<ref>[http://dle.rae.es/?id=1f46Zy5 DRAE]</ref>
gannet,mergulhão < Vulg.Lat. <
bishop (chess),bispo < Lat.,alfil < al-fīl 'elephant'
potter,oleiro < Lat.,alcaller  alfarero < Hisp-Ar. alqallál <ref>http://dle.rae.es/srv/search?m=30&w=alcaller</ref> ''alfaẖẖār < فخ خار<ref></ref>
fuss  overreaction,gritaria  confusão < Lat.   < Lat.,alharaca < Hisp-Ar. alḥaráka < ḥarakah<ref>http://dle.rae.es/?id=1oia14G</ref>
sparrowhawk  shabby  pen-pusher,falcão-peregrino  pelintra  lacaio < Lat.   < Uncertain origin  < Fr.,tagarote < Berber táhért or maybe < Ar. táhurtí
cork oak,sobreiro < Lat.,alcornoque < Hisp.-Ar alqurnúq < Lat. quernus + Hisp suffix occus
cobble (stone),paralelo < Gr.,adoquín < addukkín < دكان (dukkān)
defence (player),defesa (jogador) < Lat.
epilepsy  apoplexy,epilepsia  apoplexia < Lat. < Gr.   < Lat. < Gr.,1lBSg65</ref>
sales tax,imposto de venda < Lat.,alcabala < Hisp.-Ar. alqabála
flight attendant,hospedeira < Lat. (+ Port. -eira)
indigo,índigo < Lat.,añil < Hisp.-Ar. an-Nile
lavender,lavanda < Lat.,alhucema < Ar. لْخُزَامَى al-ḵuzāmā<ref>http://dle.rae.es/srv/search?m=30&w=alhucema</ref>
sill  parapet (i.e. window),parapeito < Gr. + Lat.,alféizar < Hisp.-Ar. alḥáyza < Ar. ḥā'izah<ref>http://dle.rae.es/srv/search?m=30&w=alf%C3%A9izar</ref>
lad  youth,rapaz  jovem < Lat.
munchkin  wimp  caramel bar,monstrinho  frouxo  caramelo < Lat.  *Uncertain probably Lat.,alfeñique < Hisp.-Ar.fa[y]níd<ref>http://dle.rae.es/srv/search?m=30&w=alfe%C3%B1ique</ref>
myrtle,murta  mirto < Lat.
rental,aluguel/aluguer  locação  renda < Lat.   Lat.,alquiler < kira
beach  boulevard,areal  passeio < Lat. ,,rambla < ramla<ref></ref>
flip-flops  slippers,chinelo < Ita. pianella < Lat.,chanclas < late Lat. zanca < Persian zanga
