,Range,Hash,Composite (Range+Hash),List,Expression
4th Dimension,,,,,
ADABAS,,,,,
Adaptive Server Enterprise,,,,,
Advantage Database Server,,,,,
Altibase,,,,,
Apache Derby,,,,,
ClustrixDB,,,,,
CUBRID,,,,,
IBM DB2,,,,,
Empress Embedded Database,,,,,
EXASolution,,,,,
Firebird,,,,,
HSQLDB,,,,,
H2,,,,,
Informix Dynamic Server,,,,,
Ingres,,,,,
InterBase,,,,,
Linter SQL RDBMS,,,,,
MariaDB,,,,,
MaxDB,,,,,
Microsoft Access (JET),,,,,
Microsoft Visual Foxpro,,,,,
Microsoft SQL Server,,,,,
Microsoft SQL Server Compact (Embedded Database),,,,,
Mimer SQL,,,,,
MonetDB,,,,,
MySQL,,,,,
OpenBase SQL,,,,,
Oracle,,,,,
Oracle Rdb,,,,,
OpenLink Virtuoso,,,,,
Pervasive PSQL,,,,,
Polyhedra DBMS,,,,,
PostgreSQL,1,1,1,1,1
Raima Database Manager,2,2,2,,
RDM Server,,,,,
SAP HANA,,,,,
solidDB,,,,,
SQL Anywhere,,,,,
SQLite,,,,,
Teradata,,,,,
UniVerse,,,,,
,Range,Hash,Composite (Range+Hash),List,Expression
