Vehicle,Origin,Manufacturer,Payload mass to … (kg),Launches,Date of flight
LEO,GTO,Other,First,Latest,[added]
Alpha,[empty],Firefly Aerospace,<ref></ref>,[empty],to SSO
Angara 1.2,[empty],Khrunichev,<ref name="khru_angara"></ref>,[empty],to SSO
Angara A5,[empty],Khrunichev,<ref name="khru_angara" />,with KVTK with Briz-M <ref name="khru_angara" />,[empty]
Antares 230,[empty],NG Innovation,<ref name=gunter-antares></ref>,[empty],to SSO
Ariane 5 ECA,[empty],EADS Astrium,<ref name="ariane5-manual"></ref>,<ref name=sfn-20170602></ref></ref>}},[empty]
Ariane 6 A62,[empty],ArianeGroup,<ref name="ariane6-manual"></ref>,<ref name=ariane6-manual />,to SSO to HEO to TLI <ref name=ariane6-manual />
Ariane 6 A64,[empty],ArianeGroup,<ref name=ariane6-manual />,+ <ref name=ariane6-manual />,to SSO}} to GEO to HEO to TLI <ref name=ariane6-manual />
Atlas V 401,[empty],ULA,<ref name="GSP-AtlasV"></ref>,[empty],to SSO
Atlas V 411,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO
Atlas V 421,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO
Atlas V 431,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO
Atlas V 501,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 1.500 to GEO
Atlas V 511,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 1.750 to GEO
Atlas V 521,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 2.760 to GEO
Atlas V 531,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 3.250 to GEO
Atlas V 541,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 3.730 to GEO
Atlas V 551,[empty],ULA,<ref name="GSP-AtlasV"/>,[empty],to SSO 3.960 to GEO
Atlas V 552,[empty],ULA,<ref name=FAA></ref>,[empty],[empty]
Atlas V N22<ref></ref> (for Starliner),[empty],ULA,<ref></ref>,[empty],[empty]
Beta,[empty],Firefly Aerospace,<ref></ref>,[empty],to SSO
BFR (fully reusable),[empty],SpaceX,+<ref name=SpaceX-20180917></ref>,[empty],to TMI<ref name=grush-20180917></ref>
Bloostar,[empty],Zero 2 Infinity,<ref name="Bloostar-PUG"></ref>,[empty],to SSO<ref name="Bloostar-PUG"/>
Chetak,[empty],Bellatrix Aerospace<ref name=Bellatrix-Aerospace></ref><ref name=researchmatters-20170707></ref>,[empty],[empty],to SSO<ref name=Bellatrix-Aerospace-Chetak></ref>
Cyclone-4M,[empty],Yuzhnoye <br /> Yuzhmash,<ref name="spaceq-20170314"></ref>,<ref name="GSP-Cyclone"></ref>,to SSO<ref name="spaceq-20170314" />
Delta IV M+(4.2),[empty],ULA,<ref name=d4ppg/>,[empty],to polar
Delta IV M+(5.4),[empty],ULA,<ref name=d4ppg/>,[empty],to polar
Delta IV Heavy,[empty],ULA,<ref name=d4ppg></ref>,[empty],to polar to TLI to TMI
Electron,[empty],Rocket Lab,<ref name=rocketlab-electron></ref>,[empty],to SSO
Epsilon,[empty],IHI<ref name=IHIAERO></ref>,<ref name="IHI_Epsilon"></ref>,[empty],to SSO
Eris,[empty],Gilmour Space Technologies,<ref name=gilmour-leo></ref>,[empty],[empty]
Falcon 9 Full Thrust (partially reusable),[empty],SpaceX,–15.960<ref></ref>,<ref name="spacex-capabilities" /></ref>}},to polar<ref></ref>
(expended),[empty],SpaceX,<ref name="spacex-capabilities"></ref></ref>}},<ref name=koenigsmann-iac-2018 />–8.300<ref name="spacex-capabilities" />,to TMI
