Rank,Country and (Argentine provinces),Intl.&nbsp;$
1,[empty],86.008
2,[empty],82.441
3,[empty],53.738
4,[empty],51.226
5,[empty],50.199
6,[empty],47.440
—,'''',43.847
7,[empty],43.196
8,[empty],42.110
9,[empty],40.558
10,[empty],40.471
11,[empty],39.915
12,[empty],39.887
13,[empty],39.098
14,[empty],38.894
15,[empty],37.334
16,[empty],37.304
17,[empty],36.918
18,[empty],36.416
19,[empty],36.358
20,[empty],36.320
21,[empty],35.539
22,[empty],34.662
23,[empty],34.205
24,[empty],34.116
25,(Taiwan),30.912
26,[empty],30.681
27,[empty],30.631
28,[empty],30.589
29,[empty],29.853
30,[empty],29.521
31,[empty],28.474
32,[empty],27.735
33,[empty],27.692
34,[empty],27.083
—,Santa Cruz,26.438
—,Tierra del Fuego,25.993
35,[empty],25.118
36,[empty],24.674
37,[empty],23.971
38,[empty],23.814
—,Neuquén,23.380
—,Chubut,22.983
39,[empty],22.232
40,[empty],22.097
41,[empty],20.829
42,[empty],20.561
43,[empty],20.338
—,Buenos Aires City,20.036
44,[empty],19.553
45,[empty],19.340
46,[empty],18.977
47,[empty],18.977
48,[empty],18.575
49,<ref>The IMF is using a 2008 population estimate based on a 2001 census whose validity has been called into question. A 2003 U.S. State Department report on Equatorial Guinea stated that "although the 2002 (sic) census estimated the population at 1.015.000  credible estimates put the number at closer to 500.000. The opposition claimed that the Government inflated the census in anticipation of the December presidential election. (...) Opposition leaders charged earlier in the year that census results showing a twofold population increase were flawed and that numbers were inflated to perpetuate election fraud." https://www.state.gov/g/drl/rls/hrrpt/2002/18181.htm</ref>,18.058
50,[empty],17.537
51,[empty],17.106
52,[empty],15.948
—,Río Negro,15.046
53,[empty],14.907
—,Buenos Aires,14.773
—,San Luis,14.649
54,[empty],14.545
55,[empty],14.534
56,[empty],14.529
57,[empty],14.408
—,Santa Fe,14.216
58,[empty],14.192
—,San Juan,14.154
59,[empty],14.081
—,Catamarca,14.105
60,[empty],13.826
—,Mendoza,13.795
—,Córdoba,13.708
—,La Pampa,13.658
61,[empty],13.139
—,Jujuy,13.089
62,[empty],13.006
63,[empty],12.806
64,[empty],12.785
65,[empty],12.600
—,Salta,12.594
—,Santiago del Estero,12.532
—,Entre Ríos,12.420
66,[empty],12.322
67,[empty],12.313
—,Corrientes,12.148
—,Misiones,12.099
68,[empty],12.011
—,Formosa,11.616
—,Chaco,11.516
69,[empty],11.464
70,[empty],11.434
71,[empty],11.362
72,[empty],11.111
73,[empty],11.052
74,[empty],10.810
75,[empty],10.750
76,[empty],10.735
—,Tucuman,10.811
77,[empty],10.466
—,World<ref>World GDP (PPP) & Country population  World Economic Outlook Database-October 2009  International Monetary Fund. Note: Per capita values were obtained by dividing the PPP GDP data by the population data for 182 countries. Population data for Montenegro were obtained by dividing its PPP GDP by its PPP GDP per capita. Accessed on October 1  2009.</ref>,10.433
—,La Rioja,10.414
78,[empty],10.163
79,[empty],10.136
80,[empty],10.133
81,[empty],9.164
82,[empty],8.967
83,[empty],8.634
84,[empty],8.619
85,[empty],8.594
86,[empty],8.239
87,[empty],8.229
88,[empty],8.188
89,[empty],8.002
90,[empty],7.954
91,[empty],7.786
92,[empty],7.624
93,[empty],7.564
94,[empty],7.342
95,[empty],6.897
96,[empty],6.709
97,[empty],6.612
98,[empty],6.252
99,[empty],6.122
100,[empty],5.970
101,[empty],5.897
102,[empty],5.792
103,[empty],5.757
104,[empty],5.749
105,[empty],5.674
106,[empty],5.537
107,[empty],5.382
108,[empty],5.312
109,[empty],4.967
110,[empty],4.907
111,[empty],4.869
112,[empty],4.786
113,[empty],4.757
114,[empty],4.589
115,[empty],4.362
116,[empty],4.345
117,[empty],4.275
118,[empty],4.251
119,[empty],4.196
120,[empty],4.029
121,[empty],3.980
122,[empty],3.919
123,[empty],3.547
124,[empty],3.515
125,[empty],3.477
126,[empty],3.472
127,[empty],2.984
128,[empty],2.917
129,[empty],2.794
130,[empty],2.780
131,[empty],2.698
132,[empty],2.634
133,[empty],2.624
134,[empty],2.411
135,[empty],2.396
136,[empty],2.368
137,[empty],2.309
138,[empty],2.185
139,[empty],2.162
140,[empty],2.139
141,[empty],2.127
142,[empty],2.108
143,[empty],2.082
144,[empty],2.055
145,[empty],2.023
146,[empty],1.752
147,[empty],1.739
148,[empty],1.712
149,[empty],1.663
150,[empty],1.643
151,[empty],1.608
152,[empty],1.518
153,[empty],1.482
154,[empty],1.399
155,[empty],1.395
156,[empty],1.353
157,[empty],1.317
158,[empty],1.305
159,[empty],1.268
160,[empty],1.157
161,[empty],1.156
162,[empty],1.147
163,[empty],1.144
164,[empty],1.129
165,[empty],1.043
166,[empty],1.014
167,[empty],996
168,[empty],903
169,[empty],898
170,[empty],836
171,[empty],812
172,[empty],760
173,[empty],748
174,[empty],740
175,[empty],740
176,[empty],725
177,[empty],486
178,[empty],390
179,[empty],373
180,[empty],330
181,[empty],268
[added],[added],[added]
