Implementation,Secure Renegotiation <ref name=renegotiation>RFC 5746</ref>,Server Name Indication <ref name=tlsexts>RFC 6066</ref>,ALPN <ref name=alpn>RFC 7301</ref>,Certificate Status Request <ref name=tlsexts/>,OpenPGP <ref name=openpgp>RFC 6091</ref>,Supplemental Data <ref name=supdata>RFC 4680</ref>,Session Ticket <ref name=exporter>RFC 5077</ref>,Keying Material Exporter <ref name=sticket>RFC 5705</ref>,Maximum Fragment Length <ref name=tlsexts/>,Truncated HMAC <ref name=tlsexts/>,Encrypt-then-MAC <ref name=tlsEtM>RFC 7366</ref>,TLS Fallback SCSV <ref name=tlsfallbackscsv>RFC 7507</ref>,Extended Master Secret <ref name=extendedmastersecret>RFC 7627</ref>,ClientHello Padding <ref name=tlspadding>RFC 7685</ref>,Raw Public Keys <ref name=rawpublickeys>RFC 7250</ref>
BearSSL<ref name="bearssl-tlsext"></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Botan,[empty],[empty],<ref name="Botan 1.11.16"></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="Botan 1.11.10"></ref>,<ref name="Botan 1.11.26"></ref>,[empty],[empty]
CryptoComply,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
cryptlib,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="cryptlib-maxfrag">Present  but disabled by default due to lack of use by any implementation.</ref>,[empty],[empty],[empty],[empty],[empty],[empty]
GnuTLS,[empty],[empty],<ref name="GnuTLS-3.2.0"></ref>,[empty],<ref name="lists.gnupg.org">https://lists.gnupg.org/pipermail/gnutls-devel/2017-February/008309.html</ref>,[empty],[empty],[empty],[empty],[empty],<ref name="GnuTLS-3.4.0"/>,<ref name="GnuTLS-3.4.4"></ref>,<ref name="GnuTLS-3.4.0"/>,<ref name="DUMBFW"></ref>,[empty]
JSSE,[empty],<ref name="docs.oracle.com"/>,<ref name="docs.oracle.com"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LibreSSL,[empty],[empty],<ref name="libressl-2.1.3"></ref>,[empty],[empty],?,[empty],?,[empty],[empty],[empty],<ref name="libressl-2.1.4"></ref>,[empty],[empty],[empty]
MatrixSSL,[empty],[empty],<ref></ref>,<ref name="matrixssl_3.8.3"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="matrixssl_3.8.3"/>,<ref name="matrixssl_3.8.3"/>,[empty],[empty]
mbed TLS,[empty],[empty],<ref name="PolarSSL-1.3.6"></ref>,[empty],[empty],[empty],[empty],[empty],[empty],<ref name="mbed-2.0"/>,<ref name="mbedTLS-1.3.10"></ref>,<ref name="mbedTLS-1.3.10"/>,<ref name="mbedTLS-1.3.10"/>,[empty],[empty]
NSS,[empty],[empty],<ref name="NSS-3.15.5"></ref>,[empty],<ref></ref>,[empty],[empty],[empty],[empty],[empty],<ref></ref>,<ref></ref>,<ref></ref>,<ref name="NSS-3.15.5"/>,[empty]
OpenSSL,[empty],[empty],<ref name="openssl-1.0.2-note"/>,[empty],[empty],?,[empty],[empty],[empty],[empty],[empty],<ref>http://www.openssl.org/news/secadv_20141015.txt</ref>,<ref></ref>,<ref name="openssl-1.0.1g-note"></ref>,[empty]
RomSTL,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RSA BSAFE Micro-Edition Suite,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RSA BSAFE SSL-J,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
rustls,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SChannel XP/2003,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SChannel Vista/2008,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="MS15-121"></ref>,[empty],[empty]
SChannel 7/2008R2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref name="MS15-121"/>,[empty],[empty]
SChannel 8/2012,[empty],[empty],[empty],[empty],[empty],[empty],<ref name="SChannel_SessionTicket"></ref>,[empty],[empty],[empty],[empty],[empty],<ref name="MS15-121"/>,[empty],[empty]
SChannel 8.1/2012R2  10,[empty],[empty],[empty],[empty],[empty],[empty],<ref name="SChannel_SessionTicket"/>,[empty],[empty],[empty],[empty],[empty],<ref name="MS15-121"/>,[empty],[empty]
Secure Transport,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
wolfSSL,[empty],[empty],<ref name="wolfssl-3.7.0"/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Erlang/OTP SSL application,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Implementation,Secure Renegotiation,Server Name Indication,ALPN,Certificate Status Request,OpenPGP,Supplemental Data,Session Ticket,Keying Material Exporter,Maximum Fragment Length,Truncated HMAC,Encrypt-then-MAC,TLS Fallback SCSV,Extended Master Secret,ClientHello Padding,[added]
