Program,Comic book,PDF,BMP,JPEG,PNG,TIFF,GIF,PSD,Other graphics file formats
ACDSee,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],ACDSee reads 9 compression formats and writes to 2  reads 33 video formats  and supports 61 image formats and writes to 16  including EMF  PCX  PIC  PICT  PSD  PSP  SGI  TGA  WMF  XBM  various camera formats among others
Adobe Bridge,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Displays all file types supported by Adobe Creative Suite
Aperture,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PSD  OLY  Various video formats including: AVI  MOV  MPEG
CDisplay,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Comix,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],...
digiKam,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],JPEG 2000  PCX  WMF  PNM  PPM  XCF  XPM  PGX  MPEG  MPO  MPE  AVI  MOV  ASF
Eye of GNOME,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PNM  RAS  ICO  XPM  SVG
F-Spot,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PPM  SVG
FastPictureViewer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],HD Photo  HDP  WDP  JPEG XR (+ RLE  DIB  ICO  MTIFF in the registered edition  as well as DjVu  TGA  PSD  HDR  DDS  EXR  J2K  PNM  PBM  PGM  PBM  LRPREV  JPS through additional WIC codecs from the optional FastPictureViewer Codec Pack or from 3rd parties)
FastStone Image Viewer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],loading of: JPEG 2000  PCX  WMF  ICO  CUR  TGA  CRW  saving to: BMP  GIF  JPEG  JPEG 2000  PCX  PNG  PPM  TGA  TIFF  PDF
Geeqie,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],ANI  APM  CUR  ICNS  ICO  JP2/JPC/JPX/J2K/JPF  JPS  MPO  PCX  PBM/PGM/PNM/PPM  QIF/QTIF (QuickTime Image Format)  RAS (Sun Raster)  SVG/SVGZ  TGA/TARGA  WBMP  WMF  XBM  XPM
Gonvisor,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Opens images contained in rar  zip  ace and 7zip files.
GraphicConverter,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],190 types read  79 types saved
gThumb,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Gwenview,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],MNG  SVG  XCF  RAW (NEF)  etc.
iPhoto,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],RAW (All QuickTime supported images)  PSD (Leopard)  AVI (Leopard)  MOV (Leopard)
IrfanView,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],~70 types including : AIF  ANI/CUR  ASF  AU/SND  AVI  B3D  DIB  CAM (Casio JPG)  CLP  DDS  Dicom/ACR  DJVU  ECW  EMF/WMF  EPS/PS  FITS  FlashPix (FPX)  FSH  G3  HDR  ICO/ICL/EXE/DLL  IFF/LBM  IMG (GEM)  JPEG 2000  JPM  KDC  LDF  LWF  MED  MID/RMI  MNG/JNG  MOV  MP3  MPG  MrSID  NLM/NOL/NGG  OGG  PBM/PGM/PPM  PCX/DCX  PhotoCD  PIC  PSD  PSP  RAS/SUN  RAW  Real Audio (RA)  RLE  SFF  SFW  SGI/RGB  SWF (Flash/Shockwave)  TGA  TTF  TXT  WAD  WAL  WAV  WBMP  WBZ/WBC  XBM  XPM  CAD formats. Partial support: MOV  QTIF  Mac PICT  FLI/FLC  SVG. Note that some modes don't display large animated GIF files entirely (for example the Slideshow mode).
KSquirrel,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],51 types
KPhotoAlbum,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Photo formats supported by KDE; AVI  MPEG  RAW
Lphoto,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],iPhoto Clone
nomacs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Fully supports ppm  xbm  xpm  webp and can read: gif  ico  pbm  pgm  nef  crw  cr2  arw  mrw  rw2  dng  mpo  jps  pns  psb tga
Phase One Media Pro,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Supports over 100 file formats for images  videos and documents  including: PSD  IIQ  CR  EIP  DOC
Picasa,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],8 types including TGA  RAW  and some movie formats
Preview,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],All QuickTime images:
ResourceSpace,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],Hundreds; all types supported by ImageMagick and FFmpeg plus InDesign
Shotwell,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],RAW and some video formats
Simple Comic,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],JPEG2000  any other Core Image supported format. Also opens 7-Zip  LHA  RAR  ZIP
STDU Viewer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],TXT  EMF  WMF  DjVu  XPS
Windows Photo Viewer,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],WMF  EMF  ICO
XnView and XnViewMP,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],reads over 500 formats <ref>http://dottech.org/129555/windows-review-top-best-free-image-viewer-program/</ref> including: FAX  EPS  WMF  DICOM  DPX; writes about 50 formats
Xv,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],PBM  PGM  PPM  XPM  Sun Rasterfile  Targa  RGB  PCX  FITS  PM  PostScript
