Driver family,Driver,Chipsets,Chipset PHY Modes,Integration in mainline,Non-free firmware required<ref group=note name='non-free firmware'>'On Device' means firmware is stored in device at all times</ref>,License,Development
adm8211,adm8211,ADMtek ADM8211 (IEEE 802.11b MAC/BBP,[empty],[empty],[empty],GPLv2,With support from Infineon/ADMtek
at76c50x‑usb at76c50x‑usb,at76c50x-USB,Atmel AT76C503/AT76C505 based USB WLAN adapters,[empty],[empty],Depends on the model,GPLv2,[empty]
[empty],acx100,Texas Instruments ACX100  ACX111  TNETW1450,[empty],[empty],[empty],Dual BSD/MPL,Reverse-engineered
airo,airo,Cisco Systems Aironet 4500/4800 and 340/350,b,[empty],[empty],Dual GPLv2 and BSD,[empty]
ath,ar5523,Qualcomm Atheros AR5523 based USB dongles,[empty],[empty],[empty],ISC,Reverse-engineered
ath5k,Qualcomm Atheros AR2413  AR2414  AR2417  AR2425  AR5210  AR5211  AR5212  AR5213  AR5413  AR5414  AR5423  AR5424,[empty],(since 2.6.25),<ref name="atheros">The card doesn't have a host CPU and so it doesn't require a firmware source </ref>,Dual GPL/BSD,Reverse-engineered,[added]
ath6kl,Qualcomm Atheros AR6003  AR6004 (SDIO)  AR6004 (USB),[empty],[empty],[empty],ISC,Written by Qualcomm Atheros,[added]
ath9k,Qualcomm Atheros chips with IEEE 802.11n support,a/b/g/n,(since 2.6.27),<ref name="atheros"/>,ISC,Written by Qualcomm Atheros,[added]
ath9k_htc,Qualcomm Atheros AR9271  AR7010 (USB-PCIe bridge with AR928x chips),b/g/n,(since 2.6.35)<ref></ref><ref>https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=fb9987d0f748c983bb795a86f47522313f701a08 commit of ath10k to kernel 2.6.35</ref>,<ref name="ath9k_htc"></ref>,ISC,Written by Qualcomm Atheros,[added]
ath10k,Qualcomm Atheros chips with IEEE 802.11ac support,ac,(since 3.11)<ref>https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=5e3dd157d7e70f0e3cea3f2573ed69fb156a19d5 commit of ath10k to Kernel 3.11</ref>,<ref name="ath10k">The chipsets do require a non-free firmware  as of 12/8/2013  volunteer developers should contact Luis R. Rodriguez  mcgrof at frijolero.org to help with changing this  code clean ups  and release )</ref>,ISC,Written by Qualcomm Atheros,[added]
carl9170,Qualcomm Atheros AR9170 (802.11n USB),a/b/g/n,(since 3.0),<ref name="carl9170"></ref>,GPL,Qualcomm Atheros-supported,[added]
wil6210,Wilocity wil6210  802.11ad 60GHz,[empty],[empty],[empty],ISC,Written by Qualcomm Atheros,[added]
atmel,atmel,Atmel at76c502 at76c504 and at76c506 wireless cards,[empty],[empty],[empty],GPLv2+,Reverse-engineered
b43,b43,Some Broadcom 43xx,[empty],(since 2.6.24),Experimental OSS firmware<ref name="openfw">See openfwwf project for open-source firmware. This firmware lacks support for QoS and hardware cryptography.</ref>,GPL,Reverse-engineered
b43legacy,b43legacy,Broadcom 4301  4303  and 4306 revisions 1 and 2,[empty],(since 2.6.24),Experimental OSS firmware<ref name="openfw"/>,GPL,Reverse-engineered
brcm80211,brcmfmac,PCIe devices: Broadcom 4356  43567  43570  4358  4359  43602  4365  4366 <br /> SDIO devices: Broadcom 4329  4330  4334  43340  43341  43241  4335  4339  43362  43430  43455  4354  43143 <br /> USB devices: Broadcom 43235  43236  43238  43143  43242  43566  43569,a/b/g/n,(since 3.2),[empty],ISC,Written by Broadcom
brcmsmac,Broadcom 4313  43224  43225,a/b/g/n,(since 3.2),[empty],ISC,Written by Broadcom,[added]
cw1200,cw1200,ST-Ericsson CW1100 & CW1200 WLAN chipsets,[empty],(since 3.11)<ref>http://kernelnewbies.org/Linux_3.11-DriversArch#head-55b108ef9d4cab96ff8a30e9906a6079628c49d3 Kernel Newbies 3.11 network driver documentation.</ref>,<ref>https://git.kernel.org/cgit/linux/kernel/git/firmware/linux-firmware.git/tree/LICENCE.cw1200 CW1200 Licence file at linux-firmware.</ref>,GPLv2,?
hostap,HostAP,Intersil PRISM-II  PRISM-2.5  PRISM 3,[empty],[empty],Depends on the model<ref name="hostap firmware"></ref>,GPLv2,[empty]
ipw2x00,ipw2x00,Intel PRO/Wireless 2100 and 2200 Network Connection 802.11b,[empty],[empty],<ref name="ipw2100 binary blob"></ref>,GPL,Written by Intel
iwlegacy,iwlegacy,Intel Wireless WiFi 3945ABG  4965AGN,[empty],[empty],[empty],GPL,[empty]
iwlwifi,iwlwifi,Intel Wireless WiFi Next Gen AGN - Wireless-N/Advanced-N/Ultimate-N: 6250AGN  6200AGN  6300AGN 1000BGN  5150AGN  5100AGN  5300AGN  5350AGN  6005  6030  6150BGN  100BGN and 130BGN  2000,a/b/g/n/ac/ax,[empty],[empty],Dual GPL/BSD,Written by Intel
libertas,libertas,Marvell 88W8686 SDIO Libertas 8388 (USB) 802.11b/g  8385 (CompactFlash) 802.11b/g  8385/8686/8688 (SDIO) 802.11b/g  8686 (SPI) 802.11b/g 88W8388,[empty],[empty],<ref name="libertas firmware"></ref>,GPL,Marvell-supported
libertas_tf,libertastf,Marvell 8388 (USB) WLAN Thinfirm Driver (OLPC),[empty],[empty],[empty],GPL,cozybit  Marvell-supported
[added],[added],[added],[added],[added],[added],[added],[added]
mt76,mt76,MediaTek MT76x0U  MT76x2U,a/b/g/n/ac,(since 4.19<ref name=phoronix419>Phoronix  Intel IWLWIFI Adding 802.11ax Support In Linux 4.19  5 August 2018</ref>),[empty],GPLv2,Written by MediaTek
mt7601u,mt7601u,MediaTek MT7601U,b/g/n,(since 4.2),[empty],GPLv2,Written by MediaTek
mwifiex,mwifiex,WiFi-Ex Driver for Marvell SD8786/SD8787/SD8797 (SDIO)  8766/8897 (PCIe) and 88W8797 (USB),[empty],[empty],<ref></ref>,GPLv2,Written by Marvell
mwl8k,mwl8k,Marvell TOPDOG 802.11 Wireless cards: 88W8366  88W8863  88W8687  88W8764,[empty],[empty],[empty],GPLv2,Written by Marvell
orinoco,orinoco,Lucent Hermes (WaveLAN/ ORiNOCO); Intersil PRISM-II  PRISM-2.5; Symbol Spectrum24 802.11B,[empty],[empty],Required for WPA support<ref name="orinoco_firmware"></ref>,[empty],[empty]
p54,p54,[empty],[empty],[empty],<ref name="freemac">There is a Free software firmware called FreeMAC   but it's not yet ready for non developers use</ref>,[empty],[empty]
prism54,prism54,[empty],[empty],[empty],[empty],[empty],Reverse-engineered; obsoleted by p54.
rt2x00,rt2400pci,MediaTek (Ralink) RT2460,b,(since 2.6.24),<ref name="RT61">see the license of the firmware to see which chipsets need a firmware</ref>,GPLv2+,rt2x00.serialmonkey.com; From partial documentation and GPL drivers by Ralink
rt2500pci,RT2560,b/g,[empty],[empty],GPLv2+,rt2x00.serialmonkey.com,[added]
