Language/ Library,Create,Determinant,Transpose,Element,Column,Row,Eigenvalues
APL,m←dims⍴x11 x12 ...,-.×m,⍉m,m[i;j] or i j⌷m,m[;j] or j⌷[2]m or j⌷⍉m,m[i;] or i⌷m,⌹⍠1⊢m
Fortran,m = RESHAPE([x11  x12  ...]  SHAPE(m)),[empty],TRANSPOSE<wbr/>(m),m(i j),m(: j),m(i :),[empty]
Ch <ref>Ch numerical features</ref>,m = {...},determinant<wbr/>(m),transpose<wbr/>(m),[empty],shape<wbr/>(m 0),shape<wbr/>(m 1),eigen<wbr/>(output  m  NULL)
Mathematica,m = {{x11  x12  ...}  ...},Det[m],Transpose<wbr/>[m],m[[i j]],[empty],m[[i]],Eigenvalues<wbr/>[m]
MATLAB / GNU Octave,m = [...],det(m),m.',m(i j),m(: j),m(i :),eig(m)
NumPy,m = mat(...),linalg.det(m),m.T,[empty],m[: j-1],m[i-1 :],linalg.eigvals(m)
S-Lang,m = reshape<wbr/>([x11  x12  ...]  [new-dims]),[empty],m = transpose<wbr/>(m),m[i j]<wbr/>,m[* j],m[j *],[empty]
SymPy,m = Matrix(...),[empty],m.T,[empty],[empty],[empty],[empty]
Wolfram Language,m = {{x11  x12  ...}  ...},Det[m],Transpose<wbr/>[m],m[[i j]],[empty],m[[i]],Eigenvalues<wbr/>[m]
[added],[added],[added],[added],[added],[added],[added],[added]
