Audio player,Windows,OS X,Linux,iOS,Android,BSD Unix,Solaris,Other Unix,DOS
AIMP,,,,,,,,,
Amarok,,,,,,,,,
aTunes,,,,,,,,,
Audacious,,,,,,,,,
Audion,,,,,,,,,
Banshee,,,,,,,,,
cmus,,,,,,,,,
Cog,,,,,,,,,
Clementine,,,,,,,,,
Ecoute,,,,,,,,,
Exaile,,,,,,,,,
foobar2000,,<ref group="osnotes" name="Foobar2000 - Mac">foobar2000 - Mac</ref>,<ref group="osnotes" name="WineHQ - foobar2000">WineHQ - foobar2000</ref>,,,,,,
Guayadeque Music Player,,,,,,,,,
Groove Music,,,,,,,,,
iTunes,,,,,,,,,
JRiver Media Center,,,,,,,,,
MediaMonkey,,,,,,,,,
MPXPLAY,,,,,,,,,
Music Player Daemon,,,,,,,,,
MusicBee,,,<ref>https://getmusicbee.com/help/faq/</ref>,,,,,,
Musicmatch Jukebox,,,,,,,,,
musikCube,,,,,,,,,
Quod Libet,,,,,,,,,
Rdio,,,,,,,,,
Rhapsody,,,,,,,,,
Rhythmbox,,,,,,,,,
Songbird,,,,,,,,,
Sonique,,,,,,,,,
Spotify,,,,,,,,,
Style Jukebox,,,,,,,,,
Winamp,,,,,,,,,
XMMS,,,,,,,,,
XMPlay,,,,,,,,,
Zinf,,,,,,,,,
Audio player,Windows,OS X,Linux,iOS,Android,BSD Unix,Solaris,Other Unix,DOS
