Name,Hidden containers,Pre-boot authentication,Single sign-on,Custom authentication,Multiple keys,Passphrase strengthening,Hardware acceleration,TPM,Filesystems,Two-factor authentication
Aloaha Secure Stick,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ArchiCrypt Live,<ref name="ArchiCrypt">Secret-containers and Camouflage files ArchiCrypt Live Description</ref>,[empty],[empty],[empty],<ref name="ArchiCrypt"/><ref>Supports "Guest" keys</ref>,[empty],[empty],[empty],[empty],<ref name="ArchiCrypt"/><ref>Using "Archicrypt Card"</ref>
BestCrypt,[empty],[empty],[empty],[empty],<ref>Supported by the BestCrypt container format; see BestCrypt SDK</ref>,[empty],[empty],[empty],[empty],<ref>Supported by the BestCrypt Volume Encryption software</ref>
BitArmor DataControl,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
BitLocker,[empty],<ref>With PIN or USB key</ref>,[empty],<ref>BitLocker Drive Encryption: Value Add Extensibility Options</ref>,<ref name="BL_Overview"/>,<ref>Recovery keys only.</ref>,[empty],<ref name="BL_Overview"></ref>,[empty],[empty]
Bloombase Keyparc,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CGD,[empty],[empty],[empty],<ref name=cgd-paper></ref>,<ref name=inside-cgd></ref>,<ref name=cgd-paper/>,[empty],[empty],[empty],<ref name="cgd-paper"/>
CenterTools DriveLock,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Check Point Full Disk Encryption,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CipherShed,<br />(limited to one per<br />"outer" container),<ref></ref>,[empty],[empty],<ref>Although each volume encrypted with CipherShed can only have one active master key  it is possible to access its contents through more than one header. Each header can have a different password and/or keyfiles if any (cf. TrueCrypt FAQ: Is there a way for an administrator to reset a volume password or pre-boot authentication password when a user forgets it (or loses a keyfile)?)</ref><ref name="truecrypt.org"></ref>,[empty],[empty],<ref name="TrueCrypt Foundation"></ref>,</ref> }},[empty]
CryFS,[empty],[empty],[empty],[empty],[empty],<ref></ref>,[empty],[empty],[empty],[empty]
CrossCrypt,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CryptArchiver,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Cryhod,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Cryptoloop,[empty],<ref name=dmcrypt-initrd>dm-crypt and cryptoloop volumes can be mounted from the initrd before the system is booted</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Cryptomator,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CryptoPro Secure Disk Enterprise,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CryptoPro Secure Disk for BitLocker,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Cryptsetup / Dmsetup,[empty],<ref name=dmcrypt-initrd/>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
DiskCryptor,[empty],[empty],[empty],[empty],[empty],[empty],<ref name=DiskCryptor></ref>,[empty],[empty],<ref name=DiskCryptor/>
DISK Protect,[empty],<ref name=disk-protect></ref>,[empty],[empty],<ref name=disk-protect/>,[empty],[empty],[empty],[empty],[empty]
Dm-crypt / LUKS,[empty],<ref name=dmcrypt-initrd/>,[empty],[empty],[empty],[empty],[empty],<ref name=dm-crypt_tpm></ref>,[empty],[empty]
DriveCrypt,<ref name=drivecrypt></ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
DriveSentry GoAnywhere 2,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
E4M,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
e-Capsule Private Safe,<ref name=ps-mla></ref>,[empty],[empty],[empty],<ref name="ps-mla"/>,[empty],[empty],[empty],[empty],[empty]
eCryptfs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],<ref>uses the lower filesystem (stacking)</ref>,[empty]
EgoSecure HDD Encryption,[empty],[empty],[empty],[empty],[empty],[empty],<ref name="Intel"></ref>,[empty],[empty],[empty]
FileVault,[empty],[empty],[empty],[empty],<ref name=nsa-vilefault/>,<ref name=nsa-vilefault></ref>,?,[empty],[empty],[empty]
FileVault 2,[empty],[empty],[empty],[empty],[empty],[empty],<ref name=ars-filevault></ref>,[empty],[empty],[empty]
FinalCrypt,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FREE CompuSec,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FreeOTFE,[empty],[empty],[empty],<ref name=components>FreeOTFE has a modular architecture and set of components to allow 3rd party integration</ref>,<ref name=keyfiles>FreeOTFE allows multiple keys to mount the same container file via encrypted keyfiles</ref>,[empty],[empty],[empty],[empty],[empty]
