Application,Alembic Importer,Rendering Engine,Volume Rendering for clouds,Interactive Rendering,Isolating light contribution,Light Lister,IES Light,Physical Sun & Sky,Sun Positioning by location and times,Light Portal,Shadow Catcher,IBL and Environment texture,Light Paint,Light Layers
Lat Long,sIBL,Light Extraction<ref>Auto HDRI Light Gen for Maya Creates Practical Lighting Setups from HDR Images  Lesterbanks  April 30  2013</ref>,[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Maya,rowspan=3,Maya Hardware 2.0,{{?}},[empty],<ref>Viewport 2.0 limitations Autodesk</ref>,rowspan=3,{{?}},{{?}},{{?}},{{?}},{{?}},[empty],{{?}},{{?}}
Maya Software,{{?}},{{?}},[empty],[empty],{{?}},{{?}},{{?}},{{?}},[empty],{{?}},{{?}},[empty],[empty],[added]
Arnold,[empty],[empty],[empty],[empty],[empty],{{?}},[empty],[empty],[empty],{{?}},{{?}},[empty],[empty],[added]
3ds Max,rowspan=4,Quicksilver,{{?}},[empty],<ref>Kelly L. Murdock's Autodesk 3ds Max 2016 Complete Reference Guide  P.685  Kelly Murdock  2015</ref>,rowspan=3,{{?}},{{?}},{{?}},{{?}},{{?}},{{?}},{{?}},{{?}}
Scanline,{{?}},{{?}},[empty],{{?}},{{?}},{{?}},{{?}},[empty],{{?}},[empty],{{?}},[empty],[empty],[added]
[empty],{{?}},{{?}},{{?}},[empty],{{?}},{{?}},{{?}},{{?}},{{?}},{{?}},{{?}},[empty],[empty],[added]
Arnold,[empty],[empty],<ref>Lights  Solid Angle</ref>,[empty],[empty],[empty],[empty],[empty],[empty],[empty],{{?}},{{?}},[empty],[empty]
Blender,rowspan=3,Viewport,{{?}},[empty],[empty],rowspan=2,[empty],[empty],{{?}},[empty],[empty],[empty],{{?}},{{?}}
Blender Internal,{{?}},[empty],[empty],[empty],[empty],{{?}},[empty],[empty],[empty],{{?}},{{?}},[empty],[empty],[added]
Cycles,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],{{?}},[empty],[empty]
MODO,[empty],MODO Renderer,[empty],[empty],[empty],{{?}},[empty],colspan=2,[empty],[empty],[empty],[empty],{{?}},[empty]
LightWave,[empty],LightWave Renderer,[empty],[empty],{{?}},{{?}},[empty],{{?}},{{?}},{{?}},{{?}},[empty],{{?}},{{?}}
Houdini,[empty],Mantra (),[empty],[empty],[empty],{{?}},[empty],{{?}},{{?}},{{?}},[empty],[empty],{{?}},{{?}}
Cinema 4D,[empty],CineRender,{{?}},[empty],[empty],{{?}},[empty],{{?}},{{?}},{{?}},[empty],[empty],{{?}},{{?}}
