Meaning,Portuguese < French,Spanish
lampshade  lamp,abajur  abat-jour < abat-jour,lámpara < Gr.
dam,barragem < barrage,dársena < Arabic
boutique,boutique  butique < boutique,tienda < Lat
roadside  berm,berma < berme,arcén< Lat
skid,derrapagem < dérapage,''resbalo < Lat.
clutch (car),embraiagem  embreagem < embrayage < Gaulish/Celtic 'braca',''embrague < Lat. 'braca' < Gaulish/Celtic 'braca'
electric drill,berbequim < vilebrequin,''taladradora eléctrica < Lat. + Greek
lipstick,batom  baton < bâton,pintalabios < Lat.
crib,berço < berceau,cuna < Lat.
appearance-money (artists  performers),caché  cachet < cachet,emolumento< Lat.
shop window,montra < montre,escaparate < Dutch
grey-haired,grisalho < grison,canoso < Lat.
flower basket,corbelha < corbeille,cesta < Lat.
beetroot  beet,beterraba < betterave,remolacha < Ita. ramolaccio  < Lat. armoracĭum  < Gr.
swing,balancé < balancé,columpio < Gr.
brioche,brioche < brioche,bollo de leche < Lat.
candy  sweet,bombom  bombons < bonbon(s),dulce < Lat.
club  (police) baton,cassetete  casse-tête < casse-tête,porra (de policía) < Lat.
cap,boné < bonnet,gorra < (unknown)
coat,casaco < casaque < Ukrainian козак,abrigo < Lat.
reciter (poetry),diseur < diseur,recitador < Lat.
basket  shopping-basket,cabaz < cabas < Old Provençal/Occitan cabas,cesta < Lat. cista
delicatessen,charcuteria/charcutaria < charcuterie,''embutidos < Lat.
gaffe,gafe < gaffe,metedura de pata < Lat. + Ar.
gauze,gaze < gaze,gasa < Pers.
gouache,guache < gouache,aguada < Lat.
crane  hoist,guindaste < guindeau < guindas,grúa < Lat.
helmet,capacete < cabasset < Old Provençal/Occitan cabas,casco < Lat. quassare
to tidy up (verb),arrumar < arrimer < arrumer,arreglar < Lat. regulare
to roll (verb),rolar < rouler,rodar < Lat. rotāre
buffet,bufete  bufê  buffet < buffet,mostrador de comidas  buffet < Lat. monstrātor + prefix 'com'+''edere''
earbuds  cotton buds,cotonetes < cotonnettes,bastoncillos (de algodón) < Lat. bastum + suffix illo
scarf (ladies),echarpe  écharpe < écharpe,bufanda < Probably Old Fr.
éclair (pastry),éclair  ecler < éclair,pastelillo de crema < Lat.
badge,crachá < crachat,distintivo < Lat.
quay  wharf,cais < quai,muelle < Lat.
hat,chapéu < chapeau,sombrero < sombra 'shade'
pushpin  thumbtack,pionés  pionese < punaise,chincheta < Lat.
advert board  placard,placar  placard < placard,cartel < Lat.
gypsy  roma/romani  traveller,cigano < Old French cigain < Rus цыган (tsigan),gitano < Lat.
dodgy  crappy,reles  ralé < relais,chungo(a) < Caló < Romani
cliff,falésia < falaise,acantilado < Lat.
creche,creche < crèche,guardería (infantil) < Germanic
croquette  quenelle,croquete < croquette
crunchy  crisp,crocante < croquant,crujiente < probably Lat.
crochet,crochê  croché < crochet,ganchillo < gancho (probably pre-Roman)
courgette  zucchini,courgette  curgete < courgette,calabacín < Persian
cutlery,couverts < couverts (de table),cubiertos < Lat.
takeoff (aviation),decolagem  descolagem < décollage,despegue < Lat. des + picare
panelling (architecture/building),lambri  lambril  lambrim < lambris,zócalo(s) < Lat. socculus
tip (money),gorjeta < gorge + suffix 'eta',propina < Lat. propināre < Gre. propinein
screen,ecrã  écran < écran,pantalla < Catalan ventall(a) or Fr. ventaille
package  packing,embalagem < emballage,envase < Lat.
envelope,envelope < enveloppe,sobre < sobre (Spanish preposition)
crook  swindler,escroque < escroc,estafador < estafar < Ital. staffare
puppet  marionette,marionete < marionette,títere < onomatopoeic
ravine,ravina < ravine,barranco  arroyo < Pre-Roman
grill  rotisserie,rotisseria < rôtisserie,assador < Lat + suffix
rouge  blush,rouge  ruge < rouge,colorete < Lat.
rubber boot  Wellington boot,galocha < galoche,katiuska < Russ. Катюшка (woman's name)
souvenir,souvenir < souvenir,recuerdo < Lat.
strike (work stoppage),greve < grève,huelga < holgar < Late Lat.
turmoil,turbilhão < tourbillon,vorágine  torbellino < Lat.
vernissage,vernissage  vernissagem < vernissage,inauguración < Lat.
voyeur,voyeur < voyeur,mirón < Lat.
nightclub  club,boate  boîte < boîte,club de noche  nightclub < Eng. club + Sp. de noche  < Eng. nightclub
box office  ticket window,guichê < guichet,taquilla < Arabic ṭāqa
wheel rim,jante < jante,aro < Lat. < Greek
newspaper,jornal < journal,periódico < período < Lat. < Anc.Gr. Περίοδος
madam,madame < madame,señora < Lat.
menu,menu < menu
à la carte,à la carte < à la carte,a la carta < Sp. + Lat.
leave things until the last minute,à la dernière < à la dernière (minute),dejar todo para el final < Lat.
blueberry,mirtilo < myrtille,arándano < Celt. + < Lat.   (Port. arando means 'cranberry')
Afternoon show,matinée  matiné < matinée,función de tarde < Lat.
omelette,omelete < omelette'',tortilla < Lat.+ diminutive
