English,Irish,Scottish Gaelic,Notes
in,[empty],[empty],In Classical Irish the forms were "i"  "a"  "in"  "an" – "i/in" when the following sound was slender  and "a/an" when the following sound was broad. In both Irish and Scottish  in the spoken language  the four forms of "i"  "a"  "in"  "an" still exist.
minister,[empty],[empty],In Irish  for a government minister
Bible,[empty],[empty],[empty]
Germany,[empty],[empty],[empty]
America,[empty],[empty],[empty]
England,[empty],[empty],[empty]
London,[empty],[empty],[empty]
road,[empty],[empty],[empty]
cold (sickness),[empty],[empty],Meaning illness
talking,[empty],[empty],(formerly ) in Irish means "fighting"  "quarrelling." in Scottish Gaelic is used as a noun only  meaning "speech " except in Arran where it is also a verb<ref></ref>
[added],[added],[added],[added]
