[empty],Modeling,3D Painting,Animation,Rendering,3D Tracking,Compositing
3ds Max,[empty],[empty],[empty],[empty],[empty],[empty]
AC3D,[empty],?,?,[empty],[empty],[empty]
Blender,[empty],[empty],[empty],[empty],[empty],[empty]
Electric Image Animation System,[empty],?,[empty],[empty],[empty],?
Cinema 4D,[empty],[empty],[empty],[empty],[empty],[empty]
Clara.io,[empty],?,[empty],[empty],[empty],?
Cobalt,[empty],?,[empty],[empty],[empty],?
HiCAD,[empty],[empty],[empty],[empty],[empty],[empty]
Houdini,[empty],[empty],[empty],[empty],[empty],[empty]
IClone,[empty],?,[empty],[empty],?,?
Lightwave 3D,[empty],[empty],[empty],[empty],[empty],[empty]
MakeHuman,[empty],[empty],[empty],[empty],[empty],[empty]
Maya,[empty],[empty],[empty],[empty],[empty],[empty]
Metasequoia,[empty],[empty],[empty],[empty],[empty],[empty]
Modo,[empty],[empty],[empty],[empty],[empty],[empty]
Remo 3D,[empty],[empty],[empty],[empty],[empty],[empty]
Shade,[empty],[empty],[empty],[empty],[empty],[empty]
Softimage,[empty],[empty],[empty],[empty],[empty],[empty]
Solid Edge,[empty],?,[empty],[empty],[empty],?
SketchUp Make,<ref name=sketchup_features>SketchUp Features</ref><ref name=sketchup3Dmodel>SketchUp User Guide: Creating a 3D Model</ref>,?,<ref name=sketchup_features/>,<ref name=sketchup_features/>,[empty],[empty]
SketchUp Pro,<ref name=sketchup_features/><ref name=sketchup3Dmodel/>,?,<ref name=sketchup_features/>,<ref name=sketchup_features/>,[empty],[empty]
Wings3D,[empty],?,[empty],[empty],[empty],?
