+ Properties of TeX editors 2,[empty],Inverse search<ref group=Note>Inverse search means that one can locate the relevant part of the source code from the viewer (e.g.  double-clicking in dvi or pdf file brings up the appropriate line/paragraph in the latex code)</ref>,DDE support<ref group=Note>On Windows some pdf viewers like Sumatra PDF or Adobe Reader don't use command line arguments for forward search  but the editor sends the document position to them using Dynamic Data Exchange</ref>,Organises Projects,Menu for inserting symbols,Document comparison,Spell-checking,Multiple undo-redo
AUCTeX,[empty],[empty],(master file),[empty],[empty],<ref group=Note>Requires installation of extra package.</ref>,[empty],[added]
Authorea,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Auto-Latex Equations for Google Docs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
CoCalc,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Gummi,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Kile,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
GNOME-LaTeX,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
LEd,[empty],?,[empty],[empty],[empty],[empty],[empty],[added]
LyX,[empty],?,[empty],[empty],[empty],[empty],[empty],[added]
MeWa,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Notepad++,, with SumatraPDF,, with a DDE client,[empty],<ref group=Note>A plug-in is required. See [http://npp-wiki.tuxfamily.org/index.php?title=Plugin_Central this list of plugins for Notepad++] for details.</ref>,[empty],[empty],[empty],[added]
Scientific WorkPlace,[empty],?,?,[empty],[empty],[empty],(one level),[added]
ShareLaTeX,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
TeXmacs,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Texmaker,[empty],[empty],(master file),[empty],[empty],[empty],[empty],[added]
TeXnicCenter,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
TeXShop,[empty],[empty],[empty],<ref group=Note>LaTeX panel & Matrix panel</ref>,[empty],[empty],[empty],[added]
TeXstudio,[empty],[empty],(master file),[empty],[empty],[empty],[empty],[added]
TeXworks,[empty],[empty],[empty],[empty],[empty],<ref group=Note>Requires installation of extra package (  [http://code.google.com/p/texworks/wiki/SpellingDictionaries How to install spelling dictionaries for the TeXworks editor] )</ref>,[empty],[added]
Verbosus,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
WinEdt,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
WinShell,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
[empty],Inverse search,DDE Support,Organises Projects,Menu for inserting symbols,Document comparison,Spell-checking,Multiple undo-redo,[added]
