Format,Languages
string (string'First .. string'First + n - 1),Ada
substr(string  0  n),AWK (changes string)  Perl 5  Perl 6  PHP
LEFT$(string n),BASIC  VB
left(string n),VB  FreeBASIC  Ingres  Pick Basic
strncpy(string2  string  n),C standard library
string.substr(0 n),C++ (STL)  Perl 6
[string substringToIndex:n],Objective-C (NSString * only)
(apply str (take n string)),Clojure
string[0 .. n],D<ref>if n is larger than the length of the string  then in Debug mode ArrayRangeException is thrown  in Release mode  the behaviour is unspecified.</ref>
string:substr(string  start  length),Erlang
(subseq string 0 n),Common Lisp
string[:n],Cobra  Go  Python
left(string n « padchar»),Rexx  Erlang
string[0  n] <br /> string[0..n - 1],Ruby
string[1  n],Pick Basic
string[ .. n],Seed7
string.Substring(0 n),VB .NET  C#  Windows PowerShell  F#
leftstr(string  n),Pascal  Object Pascal (Delphi)
copy (string 1 n),Turbo Pascal
string.substring(0 n),Java <ref>if n is larger than the length of the string  Java will throw an IndexOutOfBoundsException</ref> JavaScript
(string-take string n),Scheme (SRFI 13)
take n string,Haskell
String.extract (string  n  NONE),Standard ML
String.sub string 0 n,OCaml<ref name="ReferenceA">if n is larger than length of string  raises Invalid_argument</ref>
string.[..n],F#
string.sub(string  1  n) <br /> (string):sub(1  n),Lua
string first: n,Smalltalk (Squeak  Pharo)
string(:n),Fortran
StringTake[string  n],Mathematica<ref name="ReferenceB">if n is larger than length of string  throw the message "StringTake::take:"</ref>
string («FUNCTION» LENGTH(string) - n:n),COBOL
string.substring(0  n),Cobra
n↑''string''.,APL
