Fields and initialization,Java,C#
Fields,[empty],[added]
Constants,[empty],; but no support for constant passed parameters<ref name="final"/>
Static (class) constructors,[empty],[added]
Instance constructors,[empty],[added]
Finalizers/destructors,[empty],[added]
Instance initializers,[empty],; can be simulated with instance constructor
Object initialization,[empty],[added]
Object initializers,[empty],[added]
Collection initializers,; static varargs methods,[added]
Array initializers,[empty],[added]
