Driver,Chipset,Integration,Free firmware<ref group="note" name="free firmware" />,License,Development,Free software<ref group="note" name="'free software'" />
ath<ref>it's not the same driver that the OpenBSD ath driver it's a port from Madwifi to OpenSolaris</ref><ref>source   I don't know if the HAL can be replaced with OpenHAL</ref>,Atheros AR5211/ AR5212/ AR5213/ AR5214,Integrated with Solaris Nevada build 29,No firmware required<ref name="atheros"/>,Dual GPL/BSD with proprietary HAL,Port of Madwifi,[empty]
ipw,Intel PRO/Wireless 2100,Community project,[empty],BSD,Ported from OpenBSD,[empty]
iwi,Intel PRO/Wireless 2200BG/2225BG/2915ABG,Community project,[empty],BSD,Ported from OpenBSD,[empty]
pcan,Cisco Aironet 340/350,Community project,[empty],BSD,Ported from FreeBSD,[empty]
pcwl,Lucent/Agere Systems Hermes (WaveLAN/ORiNOCO)  Intersil PRISM-2 802.11b,Community project,[empty],BSD,Ported from FreeBSD,[empty]
ral,Ralink RT2500,Community project,[empty],BSD,Ported from OpenBSD,[empty]
rtw,Realtek RTL8180L,Community project,[empty],BSD,Ported from NetBSD,[empty]
malo,Marvell 88W8335/ 88W8310,Community project,[empty],BSD,Ported from OpenBSD,[empty]
wpi,Intel PRO/Wireless 3945ABG,Community project,[empty],BSD,Ported from OpenBSD,[empty]
iwk,Intel Wireless WiFi Link 4965AGN,Community project,[empty],BSD,Ported from OpenBSD,[empty]
arn,Atheros 9000,Community project,[empty],BSD,based on ath9k,[empty]
rwd,Ralink RT2561/RT2561S/RT2661,Community project,[empty],BSD,[empty],[empty]
rwn,Ralink RT2700/2800,Community project,[empty],BSD,[empty],[empty]
urtw,Realtek RTL8187L/B USB,Community project,[empty],BSD,[empty],[empty]
atu,Atmel AT76C50x,Community project,[empty],BSD,[empty],[empty]
mwl,Marvell 88W8363,Community project,[empty],BSD,[empty],[empty]
ural,Ralink RT2500USB,Community project,[empty],BSD,[empty],[empty]
zyd,ZyDAS ZD1211 chipsets,Community project,[empty],BSD,Ported from OpenBSD,[empty]
